;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Descripcion;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
841;Ático en calle de Lepant, La Sagrada Família, Barcelona;459000;2;70.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
842;Piso en calle de Sardenya, La Sagrada Família, Barcelona;359000;2;68.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª interior con ascensor;Compra;1ª;Interior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
843;Piso en calle de los Castillejos, La Sagrada Família, Barcelona;450000;4;103.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
844;Ático en calle de Mallorca, La Sagrada Família, Barcelona;960000;4;141.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
845;Piso en calle de Sardenya, La Sagrada Família, Barcelona;345000;1;79.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª interior sin ascensor;Compra;4ª;Interior;No;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
846;Ático en calle de Sardenya, La Sagrada Família, Barcelona;850000;2;100.0;Barcelona;Eixample;La Sagrada Familia;Garaje opc. 18.500 €;Planta 8ª exterior con ascensor;Compra;8ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
847;Piso en calle d'Aragó, La Sagrada Família, Barcelona;450000;2;78.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
848;Piso en calle de Mallorca, La Sagrada Família, Barcelona;375000;4;104.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
849;Piso en calle de València, La Sagrada Família, Barcelona;360000;3;50.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
850;Chalet adosado en La Sagrada Família, Barcelona;850000;4;212.0;Barcelona;Eixample;La Sagrada Familia;No;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
851;Piso en calle Sardenya, 344, La Sagrada Família, Barcelona;784000;3;121.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
852;Piso en calle Sardenya, 344, La Sagrada Família, Barcelona;718000;3;104.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
853;Piso en calle Sardenya, 344, La Sagrada Família, Barcelona;685000;3;104.0;Barcelona;Eixample;La Sagrada Familia;No; exterior con ascensor;Compra;Indeterminado;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
854;Piso en calle Sardenya, 350, La Sagrada Família, Barcelona;685000;3;99.0;Barcelona;Eixample;La Sagrada Familia;Garaje opc. 34.000 €;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
855;Piso en calle Sardenya, 350, La Sagrada Família, Barcelona;824000;3;108.0;Barcelona;Eixample;La Sagrada Familia;Garaje opc. 34.000 €;Planta 1ª interior con ascensor;Compra;1ª;Interior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
856;Casa o chalet independiente en Passatge Pau Hernández, La Sagrada Família, Barcelona;350000;3;79.0;Barcelona;Eixample;La Sagrada Familia;No;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
857;Piso en calle del dos de Maig, La Sagrada Família, Barcelona;425000;2;88.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
858;Piso en calle Sardenya, 350, La Sagrada Família, Barcelona;832000;3;113.0;Barcelona;Eixample;La Sagrada Familia;Garaje opc. 34.000 €;Planta 1ª interior con ascensor;Compra;1ª;Interior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
859;Piso en calle de Padilla, La Sagrada Família, Barcelona;470000;2;95.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
860;Piso en calle de Padilla, La Sagrada Família, Barcelona;430000;2;76.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
861;Piso en calle de Padilla, La Sagrada Família, Barcelona;395000;2;75.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
862;Piso en calle de Lepant, La Sagrada Família, Barcelona;535000;3;121.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
863;Piso en calle de Lepant, La Sagrada Família, Barcelona;273500;2;55.0;Barcelona;Eixample;La Sagrada Familia;No; interior con ascensor;Compra;Indeterminado;Interior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
864;Piso en La Sagrada Família, Barcelona;370000;4;105.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
865;Piso en calle de Lepant, La Sagrada Família, Barcelona;560000;3;97.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
866;Piso en calle de Padilla, La Sagrada Família, Barcelona;490000;2;92.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
867;Piso en calle del Rosselló, La Sagrada Família, Barcelona;595000;2;74.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
