Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion;Regimen
Estudio en avenida del Manzanares, San Isidro, Madrid;1100;no definido;62 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor;Alquiler
Ático en calle Elvira Barrios, San Isidro, Madrid;1150;2 hab.;80 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor;Alquiler
Piso en calle del General Ricardos, San Isidro, Madrid;1250;2 hab.;74 m²;madrid;carabanchel;san-isidro;No;Planta 4ª exterior con ascensor;Alquiler
Piso en San Isidro, Madrid;1370;1 hab.;29 m²;madrid;carabanchel;san-isidro;No;Planta 5ª exterior con ascensor;Alquiler
Piso en calle Recesvinto, San Isidro, Madrid;990;2 hab.;46 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior sin ascensor;Alquiler
Estudio en San Isidro, Madrid;1370;no definido;29 m²;madrid;carabanchel;san-isidro;No;Planta 5ª exterior con ascensor;Alquiler
Piso en plaza Agueda diez, San Isidro, Madrid;1300;2 hab.;85 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor;Alquiler
Piso en calle de Matilde Hernández, San Isidro, Madrid;1250;2 hab.;92 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor;Alquiler
Piso en San Isidro, Madrid;1150;1 hab.;50 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor;Alquiler
Piso en calle Vicenta Pachón, San Isidro, Madrid;1350;3 hab.;85 m²;madrid;carabanchel;san-isidro;Garaje opc. 75 €/mes;Planta 2ª exterior con ascensor;Alquiler
Piso en calle de Zaida, 41, San Isidro, Madrid;950;1 hab.;40 m²;madrid;carabanchel;san-isidro;No;Planta 2ª con ascensor;Alquiler
Piso en calle del General Ricardos, 62, San Isidro, Madrid;1100;2 hab.;56 m²;madrid;carabanchel;san-isidro;No;Planta 3ª interior sin ascensor;Alquiler
Piso en San Isidro, Madrid;1120;3 hab.;66 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor;Alquiler
Piso en calle de Matilde Hernández, San Isidro, Madrid;1200;2 hab.;89 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor;Alquiler
Piso en paseo de San Illán, San Isidro, Madrid;1400;2 hab.;65 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor;Alquiler
Piso en San Isidro, Madrid;920;2 hab.;55 m²;madrid;carabanchel;san-isidro;No;Planta 4ª exterior sin ascensor;Alquiler
Piso en paseo del Quince de Mayo, San Isidro, Madrid;1200;2 hab.;69 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor;Alquiler
Estudio en avenida del Manzanares, 64, San Isidro, Madrid;1200;no definido;49 m²;madrid;carabanchel;san-isidro;No;Bajo exterior sin ascensor;Alquiler
Estudio en calle del Toboso, 108, San Isidro, Madrid;1100;no definido;35 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor;Alquiler
Estudio en calle Algaba, 28, San Isidro, Madrid;950;no definido;38 m²;madrid;carabanchel;san-isidro;No;Semi-sótano exterior sin ascensor;Alquiler
Piso en calle del Ánade, s/n, San Isidro, Madrid;1300;2 hab.;85 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 2ª exterior con ascensor;Alquiler
Piso en calle Recesvinto, San Isidro, Madrid;990;2 hab.;46 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior sin ascensor;Alquiler
Piso en calle Postal, San Isidro, Madrid;985;2 hab.;68 m²;madrid;carabanchel;san-isidro;No;Planta 1ª interior sin ascensor;Alquiler
Piso en San Isidro, Madrid;1200;3 hab.;80 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior sin ascensor;Alquiler
Estudio en paseo de San Illán, 23, San Isidro, Madrid;1100;no definido;60 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor;Alquiler
Piso en calle Algaba, 28, San Isidro, Madrid;1500;1 hab.;136 m²;madrid;carabanchel;san-isidro;Garaje incluido;Semi-sótano exterior sin ascensor;Alquiler
Estudio en calle del Toboso, San Isidro, Madrid;740;no definido;26 m²;madrid;carabanchel;san-isidro;No;Planta 1ª interior sin ascensor;Alquiler
Piso en calle Algaba, 17, San Isidro, Madrid;1370;3 hab.;70 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor;Alquiler
Piso en calle Paulina Odiaga, 13, San Isidro, Madrid;830;1 hab.;40 m²;madrid;carabanchel;san-isidro;No;Planta 2ª interior con ascensor;Alquiler
Estudio en avenida del Manzanares, San Isidro, Madrid;1100;no definido;62 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor;Alquiler
Ático en calle Elvira Barrios, San Isidro, Madrid;1150;2 hab.;80 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor;Alquiler
Piso en calle del General Ricardos, San Isidro, Madrid;1250;2 hab.;74 m²;madrid;carabanchel;san-isidro;No;Planta 4ª exterior con ascensor;Alquiler
Piso en San Isidro, Madrid;1370;1 hab.;29 m²;madrid;carabanchel;san-isidro;No;Planta 5ª exterior con ascensor;Alquiler
Piso en calle Recesvinto, San Isidro, Madrid;990;2 hab.;46 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior sin ascensor;Alquiler
Estudio en San Isidro, Madrid;1370;no definido;29 m²;madrid;carabanchel;san-isidro;No;Planta 5ª exterior con ascensor;Alquiler
