id,municipio,total,antes_de_1900,de_1900_a_1920,de_1921_a_1940,de_1941_a_1960,de_1961_a_1980,de_1981_a_2000
03014,Alicante/Alacant,187658,350,1752,3098,11609,85357,45443
48013,Barakaldo,46654,354,882,1260,9572,21769,2355
25120,Lleida,68299,383,1334,1526,6277,25954,17357
24115,Ponferrada,42549,443,1867,479,4213,11522,12426
30024,Lorca,42431,446,3428,2319,3484,9112,11077
18087,Granada,141257,465,4588,2640,8188,67978,35806
06015,Badajoz,74594,469,1959,1503,6398,17152,26739
46131,Gandia,54541,480,366,797,2495,23246,16507
08279,Terrassa,101134,514,1807,2589,11162,33512,24959
07011,Calvià,36492,523,126,117,568,12161,15722
35016,Palmas de Gran Canaria (Las),175181,536,2422,5360,16105,75193,38458
08187,Sabadell,92772,607,2697,2207,11186,39376,16953
09059,Burgos,93766,668,1555,2938,9542,33275,23137
08121,Mataró,52996,748,1148,807,3192,23623,12047
47186,Valladolid,159363,802,2097,2237,11778,77454,39753
36057,Vigo,144293,843,5620,5085,14971,51221,41215
08015,Badalona,91915,868,2862,2508,5017,55601,11923
50297,Zaragoza,338961,965,3227,11897,36049,135341,87355
07026,Eivissa,23938,966,633,342,889,8375,6038
11020,Jerez de la Frontera,92974,972,1390,582,7920,28022,25350
33004,Avilés,42296,1040,733,574,5307,18326,9394
01059,Vitoria-Gasteiz,119853,1043,852,998,8438,48367,28376
45168,Toledo,40498,1052,1676,589,2009,9239,13584
32054,Ourense,67492,1063,2733,1628,4442,25536,19690
22125,Huesca,29309,1224,649,314,1525,9496,9308
11031,San Fernando,39564,1276,914,396,2882,11900,13109
15030,Coruña (A),136205,1636,2530,5276,11297,56730,34606
33024,Gijón,148955,1805,2071,1845,9683,71646,33988
29067,Málaga,261857,2091,2645,3381,12085,119876,63508
11027,Puerto de Santa María (El),49077,2119,19,26,913,14730,17972
43123,Reus,51284,2177,2728,1595,2714,21152,10829
20069,Donostia/San Sebastián,94733,2258,8737,4763,12584,35555,17323
33044,Oviedo,127210,2479,1916,2192,11653,37513,34961
15036,Ferrol,42672,2766,417,2316,6610,16177,9517
43148,Tarragona,67200,3012,1772,1300,2968,30756,14396
27028,Lugo,62648,3303,403,1586,4526,14445,23961
08113,Manresa,40136,3490,1785,1525,3850,13021,7556
07040,Palma,186482,3858,7836,9238,18750,74510,35393
48020,Bilbao,165685,3882,8025,9342,35456,72647,18533
31201,Pamplona/Iruña,94761,4904,710,2462,7906,36302,23204
46250,València,414988,5342,12000,23584,50043,193385,84471
11012,Cádiz,56479,12798,72,384,4638,24607,7695
28079,Madrid,1533221,16328,74456,93505,240703,592691,283604
08019,Barcelona,808751,35051,75201,85023,99552,373571,75450
