;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;index;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
10;Piso en calle Cadete Julio Llompart, San Isidro, Madrid;170000;2;58.0;Madrid;Carabanchel;San Isidro;No;Compra;4ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
11;Piso en calle Fernando Mora, San Isidro, Madrid;317000;2;120.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
12;Piso en calle Fernando Mora, San Isidro, Madrid;322900;2;120.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
13;Ático en calle Fernando Mora, San Isidro, Madrid;322000;1;105.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
14;Ático en calle Fernando Mora, San Isidro, Madrid;325000;1;112.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
15;Piso en calle Alcaudón, San Isidro, Madrid;159000;3;56.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
16;Piso en alto de San Isidro, San Isidro, Madrid;450000;3;140.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
17;Piso en calle de Peñafiel, San Isidro, Madrid;350000;3;106.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
18;Piso en calle San Ambrosio, San Isidro, Madrid;152950;3;270.0;Madrid;Carabanchel;San Isidro;No;Compra;Sótano;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
19;Piso en calle José del Río, San Isidro, Madrid;505000;4;407.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
20;Piso en San Isidro, Madrid;450000;3;140.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
21;Piso en calle de Armengot, San Isidro, Madrid;138600;3;87.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
22;Piso en calle del General Ricardos, San Isidro, Madrid;275000;3;104.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
23;Piso en San Isidro, Madrid;350000;3;106.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
24;Piso en calle Fernando Mora, San Isidro, Madrid;158000;2;57.0;Madrid;Carabanchel;San Isidro;No;Compra;4ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
25;Piso en calle Teodoredo, San Isidro, Madrid;230000;2;58.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
26;Dúplex en calle del Mochuelo, San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
27;Piso en calle José Montalvo, s/n, San Isidro, Madrid;290000;4;107.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
28;Piso en calle de Algodre, San Isidro, Madrid;200000;3;71.0;Madrid;Carabanchel;San Isidro;No;Compra;4ª;Interior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
29;Dúplex en calle del Mochuelo, 16, San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
30;Estudio en calle Nuestra Señora de la Esperanza, San Isidro, Madrid;163000;2;47.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
31;Dúplex en San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
32;Piso en calle de Carlos Dabán, 20, San Isidro, Madrid;288300;1;53.0;Madrid;Carabanchel;San Isidro;No;Compra;Planta 2ª;Indeterminado;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
33;Piso en San Isidro, Madrid;268800;2;74.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
34;Chalet adosado en calle José del Río, San Isidro, Madrid;490000;4;130.0;Madrid;Carabanchel;San Isidro;No;Compra;Indeterminado;Indeterminado;Indeterminado;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
35;Piso en calle Vicenta Pachón, San Isidro, Madrid;199000;1;84.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
36;Piso en calle José Garrido, San Isidro, Madrid;192000;1;54.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Interior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
37;Piso en calle Juana Fuentes, 2, San Isidro, Madrid;210000;1;72.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
38;Piso en San Isidro, Madrid;290000;3;91.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
39;Piso en calle Almendralejo, 4, San Isidro, Madrid;228000;4;70.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
40;Piso en calle de Arroyo de Valdecelada, San Isidro, Madrid;179500;1;56.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
41;Piso en calle Algaba, San Isidro, Madrid;250000;3;55.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
42;Piso en calle Valentín Llaguno, 32, San Isidro, Madrid;440000;2;113.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
43;Piso en calle Valentín Llaguno, 32, San Isidro, Madrid;440000;2;109.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
44;Ático en Fernando Mora, 8, San Isidro, Madrid;311700;1;68.0;Madrid;Carabanchel;San Isidro;Garaje opc. 10.950 €;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
45;Piso en Fernando Mora, 8, San Isidro, Madrid;309490;2;103.0;Madrid;Carabanchel;San Isidro;Garaje opc. 10.950 €;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
46;Piso en Fernando Mora, 10, San Isidro, Madrid;317000;2;90.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
47;Piso en Fernando Mora, 10, San Isidro, Madrid;322900;2;90.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
48;Piso en calle Valentin Llaguno, 32, San Isidro, Madrid;450000;2;107.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
49;Ático en calle Rascón, 33, San Isidro, Madrid;409000;2;95.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
50;Piso en calle Rascón, 33, San Isidro, Madrid;233500;2;75.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
51;Piso en calle Rascón, 33, San Isidro, Madrid;257500;2;79.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
52;Piso en calle Rascón, 33, San Isidro, Madrid;225500;2;75.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
53;Piso en calle Rascón, 33, San Isidro, Madrid;257500;2;80.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
54;Piso en calle Rascón, 33, San Isidro, Madrid;254500;2;79.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
55;Piso en calle Rascón, 33, San Isidro, Madrid;249500;2;79.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
56;Piso en calle Rascón, 33, San Isidro, Madrid;273500;2;78.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
57;Piso en calle Rascón, 33, San Isidro, Madrid;252500;2;80.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
58;Piso en calle Bandera, San Isidro, Madrid;339000;4;90.0;Madrid;Carabanchel;San Isidro;Garaje opc. 20.000 €;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
59;Dúplex en San Isidro, Madrid;335000;2;85.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;73;317.766;927.975;77.114;;;;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
