id;Municipio;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2
46190;Paterna;33020;5193;20777;6103
46220;Sagunto/Sagunt;41287;8730;26406;6027
46244;Torrent;40564;8538;24378;6904
46250;València;414988;89560;265371;58119
47186;Valladolid;159363;40016;102536;16623
48013;Barakaldo;46654;11009;33561;2084
48020;Bilbao;165685;38972;105838;20875
48044;Getxo;34366;2829;20335;11202
49275;Zamora;39710;6967;25695;6967
50297;Zaragoza;338961;117443;187534;33641
51001;Ceuta;28315;8056;14085;5664
52001;Melilla;29347;8027;15079;5193
