id,municipio,total,en_propiedad,en_alquiler,otro
46220,Sagunto/Sagunt,27883,22386,3276,2221
46244,Torrent,30874,24750,4423,1701
46250,València,323171,242186,55865,25120
47186,Valladolid,127185,96543,18622,12020
48013,Barakaldo,42953,36675,4744,1534
48020,Bilbao,149461,122697,21483,5281
48044,Getxo,30426,25337,4186,903
49275,Zamora,26793,21117,3380,2296
50297,Zaragoza,280054,213969,50140,15945
51001,Ceuta,25380,18138,4525,2717
52001,Melilla,25534,15843,8065,1626
