;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
22;Piso en calle del General Ricardos, San Isidro, Madrid;275000;3;104.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
23;Piso en San Isidro, Madrid;350000;3;106.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
24;Piso en calle Fernando Mora, San Isidro, Madrid;158000;2;57.0;Madrid;Carabanchel;San Isidro;No;Compra;4ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
25;Piso en calle Teodoredo, San Isidro, Madrid;230000;2;58.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
26;Dúplex en calle del Mochuelo, San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
27;Piso en calle José Montalvo, s/n, San Isidro, Madrid;290000;4;107.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;3ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
28;Piso en calle de Algodre, San Isidro, Madrid;200000;3;71.0;Madrid;Carabanchel;San Isidro;No;Compra;4ª;Interior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
29;Dúplex en calle del Mochuelo, 16, San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
30;Estudio en calle Nuestra Señora de la Esperanza, San Isidro, Madrid;163000;2;47.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
31;Dúplex en San Isidro, Madrid;335000;3;100.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
