;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
123;Piso en calle Thader, Puerta Bonita, Madrid;180000;3;91.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
124;Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;349000;2;149.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
125;Piso en calle Blasón, Puerta Bonita, Madrid;400000;3;117.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
126;Piso en calle Francisco Guzmán, Puerta Bonita, Madrid;200000;1;55.0;Madrid;Carabanchel;Puerta Bonita;Garaje opc. 20.000 €;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
127;Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;158000;3;60.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Sótano;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
128;Piso en calle Ademuz, 2, Puerta Bonita, Madrid;100280;2;65.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;4ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
129;Piso en calle Francisco Guzmán, 10, Puerta Bonita, Madrid;128300;2;52.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
130;Piso en paseo Castellanos, Puerta Bonita, Madrid;255000;4;121.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
131;Piso en calle de Eugenia de Montijo, Puerta Bonita, Madrid;250000;3;98.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
132;Piso en calle de Alba de Tormes, 41, Puerta Bonita, Madrid;283000;3;100.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
133;Piso en calle Pajarera Real, 8, Puerta Bonita, Madrid;298000;2;92.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
134;Piso en Puerta Bonita, Madrid;295000;4;105.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
135;Piso en calle Falcinelo, Puerta Bonita, Madrid;140000;1;52.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
136;Piso en Puerta Bonita, Madrid;119900;2;55.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Interior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
137;Piso en calle Carlos Heredero, 1, Puerta Bonita, Madrid;179000;3;77.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
138;Piso en calle de Alba de Tormes, Puerta Bonita, Madrid;250000;3;97.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;Entreplanta;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
139;Ático en Dátil, 21, Puerta Bonita, Madrid;237896;1;45.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
140;Piso en calle Francisco Guzmán, Puerta Bonita, Madrid;150000;2;55.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;3ª;Interior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
141;Ático en Dátil, 21, Puerta Bonita, Madrid;237896;2;45.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
142;Ático en Dátil, 21, Puerta Bonita, Madrid;252669;1;61.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
143;Ático en Dátil, 21, Puerta Bonita, Madrid;241532;2;46.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;4ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
144;Piso en calle del Diario la Nación, Puerta Bonita, Madrid;172000;2;70.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
145;Piso en calle Durazno, 9, Puerta Bonita, Madrid;487500;3;111.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
146;Piso en calle Durazno, 9, Puerta Bonita, Madrid;219600;1;63.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
147;Piso en calle Durazno, 9, Puerta Bonita, Madrid;317400;2;74.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
148;Piso en calle Durazno, 9, Puerta Bonita, Madrid;327500;2;73.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
149;Ático en calle Durazno, 9, Puerta Bonita, Madrid;354100;2;86.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
150;Ático en calle Durazno, 9, Puerta Bonita, Madrid;412500;2;79.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
151;Ático en calle Durazno, 9, Puerta Bonita, Madrid;419900;2;83.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
152;Piso en Puerta Bonita, Madrid;160000;1;45.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
153;Piso en camino Viejo de Leganés, Puerta Bonita, Madrid;144000;2;44.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
154;Piso en Puerta Bonita, Madrid;275000;3;75.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
155;Piso en calle del Datil, Puerta Bonita, Madrid;170000;3;61.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
156;Piso en calle de Álvarez Abellán, Puerta Bonita, Madrid;199000;3;63.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;3ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
157;Piso en calle de Belzunegui, Puerta Bonita, Madrid;145000;2;65.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
158;Piso en calle del Diario la Nación, 19, Puerta Bonita, Madrid;172000;1;70.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;1ª;Interior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
159;Piso en calle Domingo Alboraya, 4, Puerta Bonita, Madrid;319000;2;105.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
160;Piso en plaza de Anocibar, Puerta Bonita, Madrid;131100;3;95.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Planta 2ª;Indeterminado;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
161;Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;159990;2;70.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
162;Piso en calle de Álvarez Abellán, Puerta Bonita, Madrid;159900;3;62.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
163;Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;380000;4;115.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
164;Piso en calle de Barbate, Puerta Bonita, Madrid;151000;3;69.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
165;Piso en calle Ademuz, Puerta Bonita, Madrid;150000;2;62.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Interior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
166;Piso en calle Witerico, Puerta Bonita, Madrid;279000;3;101.0;Madrid;Carabanchel;Puerta Bonita;Garaje incluido;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
167;Piso en calle del General Ricardos, Puerta Bonita, Madrid;205000;2;74.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
168;Piso en calle de Belzunegui, Puerta Bonita, Madrid;172000;3;106.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
169;Piso en calle del Atlético de Madrid, Puerta Bonita, Madrid;148000;2;65.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
170;Piso en calle de Belzunegui, 18, Puerta Bonita, Madrid;165000;3;65.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
171;Piso en calle de Albares de la Ribera, 18, Puerta Bonita, Madrid;60600;2;45.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
172;Piso en calle de Carcastillo, Puerta Bonita, Madrid;236000;3;104.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
173;Piso en calle de Albares de la Ribera, Puerta Bonita, Madrid;149000;3;50.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
174;Piso en calle de Antonio Rodríguez, Puerta Bonita, Madrid;130000;2;59.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Sótano;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
175;Piso en calle de Álvarez Abellán, 30, Puerta Bonita, Madrid;96000;3;77.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Interior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
176;Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;262000;3;92.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
177;Piso en calle Moreno, 1, Puerta Bonita, Madrid;350000;2;78.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
178;Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;160000;2;50.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
179;Piso en calle María Odiaga, Puerta Bonita, Madrid;182000;2;74.0;Madrid;Carabanchel;Puerta Bonita;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
