id,municipio,2020M08,2021M02,2021M08,2022M02,2022M08,2023M02,2023M08,2024M02
29067,Málaga,5899,4932,5054,5029,5952,6252,6550,7038
29068,Manilva,953,927,837,824,967,953,1124,1099
29069,Marbella,6266,5871,5787,5387,5983,5925,6540,6994
29070,Mijas,3516,3210,3059,2999,3446,3503,3979,4229
29071,Moclinejo,6,4,5,6,7,5,6,8
29072,Mollina,4,4,3,4,4,3,4,4
29073,Monda,40,37,28,36,30,26,34,32
29074,Montejaque,26,28,28,22,31,27,30,30
29075,Nerja,2132,2089,2000,1849,2010,2039,2187,2342
29076,Ojén,163,162,152,144,152,153,185,209
29077,Parauta,1,0,1,1,0,0,1,1
29079,Periana,31,29,34,37,46,42,39,33
29080,Pizarra,21,18,18,22,22,23,21,20
29081,Pujerra,0,0,0,0,2,2,0,0
29082,Rincón de la Victoria,516,468,498,472,536,530,599,646
29083,Riogordo,18,16,9,15,15,17,21,25
29084,Ronda,448,409,450,470,522,539,556,565
29085,Salares,16,16,16,16,15,5,6,8
29086,Sayalonga,58,53,54,61,64,60,65,67
29087,Sedella,8,7,8,9,10,9,10,20
29088,Sierra de Yeguas,0,1,2,2,4,5,5,6
29089,Teba,1,1,2,1,1,2,4,2
29090,Tolox,18,22,22,20,17,21,21,26
29091,Torrox,769,718,754,710,832,861,996,1062
29092,Totalán,5,5,5,6,9,9,13,13
29093,Valle de Abdalajís,24,23,21,18,20,24,29,29
29094,Vélez-Málaga,751,705,738,689,800,788,936,1011
29095,Villanueva de Algaidas,2,2,3,10,5,8,9,8
29096,Villanueva del Rosario,22,21,22,21,21,20,22,15
29097,Villanueva del Trabuco,9,9,9,10,17,20,14,14
29098,Villanueva de Tapia,3,3,3,3,4,7,7,7
29099,Viñuela,36,30,34,39,49,45,50,62
29100,Yunquera,4,5,5,6,10,10,15,16
29901,Torremolinos,2048,1844,1905,1783,2050,1989,2280,2324
29902,Villanueva de la Concepción,18,17,20,26,33,32,32,25
29903,Montecorto,,,,,,,,24
29904,Serrato,,,,,,,,2
30,Murcia,6146,5722,5741,5554,6133,6288,6952,7309
