Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
07026 Eivissa;Total (tamaño del hogar);Total (superficie útil);18.516
07026 Eivissa;1 persona;Total (superficie útil);4.616
07026 Eivissa;2 personas;Total (superficie útil);4.976
07026 Eivissa;3 personas;Total (superficie útil);3.831
07026 Eivissa;4 personas;Total (superficie útil);3.019
07026 Eivissa;5 o más personas;Total (superficie útil);2.074
07040 Palma;Total (tamaño del hogar);Total (superficie útil);157.101
07040 Palma;1 persona;Total (superficie útil);38.296
07040 Palma;2 personas;Total (superficie útil);43.849
07040 Palma;3 personas;Total (superficie útil);33.830
07040 Palma;4 personas;Total (superficie útil);25.061
07040 Palma;5 o más personas;Total (superficie útil);16.065
08015 Badalona;Total (tamaño del hogar);Total (superficie útil);83.337
08015 Badalona;1 persona;Total (superficie útil);18.277
08015 Badalona;2 personas;Total (superficie útil);25.015
08015 Badalona;3 personas;Total (superficie útil);18.727
08015 Badalona;4 personas;Total (superficie útil);14.576
08015 Badalona;5 o más personas;Total (superficie útil);6.742
08019 Barcelona;Total (tamaño del hogar);Total (superficie útil);671.177
08019 Barcelona;1 persona;Total (superficie útil);207.973
08019 Barcelona;2 personas;Total (superficie útil);205.174
08019 Barcelona;3 personas;Total (superficie útil);126.877
08019 Barcelona;4 personas;Total (superficie útil);89.495
08019 Barcelona;5 o más personas;Total (superficie útil);41.658
08056 Castelldefels;Total (tamaño del hogar);Total (superficie útil);24.792
08056 Castelldefels;1 persona;Total (superficie útil);5.451
08056 Castelldefels;2 personas;Total (superficie útil);6.828
08056 Castelldefels;3 personas;Total (superficie útil);5.757
08056 Castelldefels;4 personas;Total (superficie útil);4.829
08056 Castelldefels;5 o más personas;Total (superficie útil);1.927
08073 Cornellà de Llobregat;Total (tamaño del hogar);Total (superficie útil);34.517
08073 Cornellà de Llobregat;1 persona;Total (superficie útil);8.104
08073 Cornellà de Llobregat;2 personas;Total (superficie útil);10.510
08073 Cornellà de Llobregat;3 personas;Total (superficie útil);7.636
08073 Cornellà de Llobregat;4 personas;Total (superficie útil);5.873
08073 Cornellà de Llobregat;5 o más personas;Total (superficie útil);2.394
08096 Granollers;Total (tamaño del hogar);Total (superficie útil);23.463
08096 Granollers;1 persona;Total (superficie útil);5.494
08096 Granollers;2 personas;Total (superficie útil);7.047
08096 Granollers;3 personas;Total (superficie útil);5.068
08096 Granollers;4 personas;Total (superficie útil);3.876
08096 Granollers;5 o más personas;Total (superficie útil);1.978
08101 Hospitalet de Llobregat, L';Total (tamaño del hogar);Total (superficie útil);101.809
08101 Hospitalet de Llobregat, L';1 persona;Total (superficie útil);24.350
08101 Hospitalet de Llobregat, L';2 personas;Total (superficie útil);31.953
08101 Hospitalet de Llobregat, L';3 personas;Total (superficie útil);21.324
