Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
28014 Arganda del Rey;3 personas;Total (superficie útil);4.805
28014 Arganda del Rey;4 personas;Total (superficie útil);4.393
28014 Arganda del Rey;5 o más personas;Total (superficie útil);1.810
28022 Boadilla del Monte;Total (tamaño del hogar);Total (superficie útil);18.060
28022 Boadilla del Monte;1 persona;Total (superficie útil);2.100
28022 Boadilla del Monte;2 personas;Total (superficie útil);3.779
28022 Boadilla del Monte;3 personas;Total (superficie útil);4.062
28022 Boadilla del Monte;4 personas;Total (superficie útil);5.355
28022 Boadilla del Monte;5 o más personas;Total (superficie útil);2.764
28045 Colmenar Viejo;Total (tamaño del hogar);Total (superficie útil);17.888
28045 Colmenar Viejo;1 persona;Total (superficie útil);3.281
28045 Colmenar Viejo;2 personas;Total (superficie útil);4.545
28045 Colmenar Viejo;3 personas;Total (superficie útil);4.073
28045 Colmenar Viejo;4 personas;Total (superficie útil);4.098
28045 Colmenar Viejo;5 o más personas;Total (superficie útil);1.891
28047 Collado Villalba;Total (tamaño del hogar);Total (superficie útil);23.281
28047 Collado Villalba;1 persona;Total (superficie útil);5.072
28047 Collado Villalba;2 personas;Total (superficie útil);6.227
28047 Collado Villalba;3 personas;Total (superficie útil);5.072
28047 Collado Villalba;4 personas;Total (superficie útil);4.578
28047 Collado Villalba;5 o más personas;Total (superficie útil);2.332
28049 Coslada;Total (tamaño del hogar);Total (superficie útil);29.649
28049 Coslada;1 persona;Total (superficie útil);5.261
28049 Coslada;2 personas;Total (superficie útil);8.979
28049 Coslada;3 personas;Total (superficie útil);7.320
28049 Coslada;4 personas;Total (superficie útil);5.922
28049 Coslada;5 o más personas;Total (superficie útil);2.167
28058 Fuenlabrada;Total (tamaño del hogar);Total (superficie útil);67.078
28058 Fuenlabrada;1 persona;Total (superficie útil);10.367
28058 Fuenlabrada;2 personas;Total (superficie útil);18.312
28058 Fuenlabrada;3 personas;Total (superficie útil);17.290
28058 Fuenlabrada;4 personas;Total (superficie útil);15.394
28058 Fuenlabrada;5 o más personas;Total (superficie útil);5.715
28065 Getafe;Total (tamaño del hogar);Total (superficie útil);70.627
28065 Getafe;1 persona;Total (superficie útil);16.268
28065 Getafe;2 personas;Total (superficie útil);20.995
28065 Getafe;3 personas;Total (superficie útil);15.429
28065 Getafe;4 personas;Total (superficie útil);13.510
28065 Getafe;5 o más personas;Total (superficie útil);4.425
28074 Leganés;Total (tamaño del hogar);Total (superficie útil);72.285
28074 Leganés;1 persona;Total (superficie útil);16.118
28074 Leganés;2 personas;Total (superficie útil);22.043
28074 Leganés;3 personas;Total (superficie útil);16.066
28074 Leganés;4 personas;Total (superficie útil);13.428
28074 Leganés;5 o más personas;Total (superficie útil);4.630
28079 Madrid;Total (tamaño del hogar);Total (superficie útil);1.322.855
28079 Madrid;1 persona;Total (superficie útil);397.447
28079 Madrid;2 personas;Total (superficie útil);380.686
28079 Madrid;3 personas;Total (superficie útil);251.859
28079 Madrid;4 personas;Total (superficie útil);190.474
28079 Madrid;5 o más personas;Total (superficie útil);102.389
28080 Majadahonda;Total (tamaño del hogar);Total (superficie útil);23.827
28080 Majadahonda;1 persona;Total (superficie útil);4.075
28080 Majadahonda;2 personas;Total (superficie útil);5.915
28080 Majadahonda;3 personas;Total (superficie útil);5.035
28080 Majadahonda;4 personas;Total (superficie útil);5.213
28080 Majadahonda;5 o más personas;Total (superficie útil);3.589
28092 Móstoles;Total (tamaño del hogar);Total (superficie útil);76.662
28092 Móstoles;1 persona;Total (superficie útil);14.784
28092 Móstoles;2 personas;Total (superficie útil);23.194
28092 Móstoles;3 personas;Total (superficie útil);18.335
28092 Móstoles;4 personas;Total (superficie útil);14.405
28092 Móstoles;5 o más personas;Total (superficie útil);5.944
28106 Parla;Total (tamaño del hogar);Total (superficie útil);44.570
28106 Parla;1 persona;Total (superficie útil);7.814
28106 Parla;2 personas;Total (superficie útil);11.589
28106 Parla;3 personas;Total (superficie útil);10.280
28106 Parla;4 personas;Total (superficie útil);9.745
28106 Parla;5 o más personas;Total (superficie útil);5.142
28113 Pinto;Total (tamaño del hogar);Total (superficie útil);19.481
28113 Pinto;1 persona;Total (superficie útil);3.782
28113 Pinto;2 personas;Total (superficie útil);5.165
28113 Pinto;3 personas;Total (superficie útil);4.784
28113 Pinto;4 personas;Total (superficie útil);4.348
28113 Pinto;5 o más personas;Total (superficie útil);1.402
28115 Pozuelo de Alarcón;Total (tamaño del hogar);Total (superficie útil);27.767
28115 Pozuelo de Alarcón;1 persona;Total (superficie útil);4.310
28115 Pozuelo de Alarcón;2 personas;Total (superficie útil);6.747
28115 Pozuelo de Alarcón;3 personas;Total (superficie útil);5.882
28115 Pozuelo de Alarcón;4 personas;Total (superficie útil);6.211
28115 Pozuelo de Alarcón;5 o más personas;Total (superficie útil);4.617
28123 Rivas-Vaciamadrid;Total (tamaño del hogar);Total (superficie útil);31.289
28123 Rivas-Vaciamadrid;1 persona;Total (superficie útil);4.773
28123 Rivas-Vaciamadrid;2 personas;Total (superficie útil);7.440
28123 Rivas-Vaciamadrid;3 personas;Total (superficie útil);7.892
28123 Rivas-Vaciamadrid;4 personas;Total (superficie útil);8.418
28123 Rivas-Vaciamadrid;5 o más personas;Total (superficie útil);2.766
28127 Rozas de Madrid, Las;Total (tamaño del hogar);Total (superficie útil);31.307
28127 Rozas de Madrid, Las;1 persona;Total (superficie útil);5.317
28127 Rozas de Madrid, Las;2 personas;Total (superficie útil);7.360
28127 Rozas de Madrid, Las;3 personas;Total (superficie útil);6.832
28127 Rozas de Madrid, Las;4 personas;Total (superficie útil);7.433
28127 Rozas de Madrid, Las;5 o más personas;Total (superficie útil);4.365
28134 San Sebastián de los Reyes;Total (tamaño del hogar);Total (superficie útil);32.904
28134 San Sebastián de los Reyes;1 persona;Total (superficie útil);6.692
28134 San Sebastián de los Reyes;2 personas;Total (superficie útil);8.947
28134 San Sebastián de los Reyes;3 personas;Total (superficie útil);7.420
28134 San Sebastián de los Reyes;4 personas;Total (superficie útil);6.972
28134 San Sebastián de los Reyes;5 o más personas;Total (superficie útil);2.873
28148 Torrejón de Ardoz;Total (tamaño del hogar);Total (superficie útil);47.253
28148 Torrejón de Ardoz;1 persona;Total (superficie útil);8.715
28148 Torrejón de Ardoz;2 personas;Total (superficie útil);12.784
28148 Torrejón de Ardoz;3 personas;Total (superficie útil);11.508
28148 Torrejón de Ardoz;4 personas;Total (superficie útil);9.969
28148 Torrejón de Ardoz;5 o más personas;Total (superficie útil);4.277
28161 Valdemoro;Total (tamaño del hogar);Total (superficie útil);26.569
28161 Valdemoro;1 persona;Total (superficie útil);4.407
28161 Valdemoro;2 personas;Total (superficie útil);6.192
28161 Valdemoro;3 personas;Total (superficie útil);6.555
28161 Valdemoro;4 personas;Total (superficie útil);7.075
28161 Valdemoro;5 o más personas;Total (superficie útil);2.340
29025 Benalmádena;Total (tamaño del hogar);Total (superficie útil);29.656
29025 Benalmádena;1 persona;Total (superficie útil);9.535
29025 Benalmádena;2 personas;Total (superficie útil);8.408
29025 Benalmádena;3 personas;Total (superficie útil);5.548
29025 Benalmádena;4 personas;Total (superficie útil);4.329
29025 Benalmádena;5 o más personas;Total (superficie útil);1.836
29051 Estepona;Total (tamaño del hogar);Total (superficie útil);27.729
29051 Estepona;1 persona;Total (superficie útil);7.178
29051 Estepona;2 personas;Total (superficie útil);7.776
29051 Estepona;3 personas;Total (superficie útil);5.668
29051 Estepona;4 personas;Total (superficie útil);5.015
29051 Estepona;5 o más personas;Total (superficie útil);2.092
29054 Fuengirola;Total (tamaño del hogar);Total (superficie útil);33.911
29054 Fuengirola;1 persona;Total (superficie útil);10.553
29054 Fuengirola;2 personas;Total (superficie útil);10.139
29054 Fuengirola;3 personas;Total (superficie útil);6.060
29054 Fuengirola;4 personas;Total (superficie útil);4.594
29054 Fuengirola;5 o más personas;Total (superficie útil);2.565
29067 Málaga;Total (tamaño del hogar);Total (superficie útil);218.245
29067 Málaga;1 persona;Total (superficie útil);54.869
29067 Málaga;2 personas;Total (superficie útil);58.621
29067 Málaga;3 personas;Total (superficie útil);46.385
29067 Málaga;4 personas;Total (superficie útil);39.436
29067 Málaga;5 o más personas;Total (superficie útil);18.934
29069 Marbella;Total (tamaño del hogar);Total (superficie útil);56.491
29069 Marbella;1 persona;Total (superficie útil);15.382
29069 Marbella;2 personas;Total (superficie útil);14.995
29069 Marbella;3 personas;Total (superficie útil);11.343
29069 Marbella;4 personas;Total (superficie útil);9.219
29069 Marbella;5 o más personas;Total (superficie útil);5.552
29070 Mijas;Total (tamaño del hogar);Total (superficie útil);33.623
29070 Mijas;1 persona;Total (superficie útil);8.708
29070 Mijas;2 personas;Total (superficie útil);9.894
29070 Mijas;3 personas;Total (superficie útil);6.604
29070 Mijas;4 personas;Total (superficie útil);5.661
29070 Mijas;5 o más personas;Total (superficie útil);2.756
29094 Vélez-Málaga;Total (tamaño del hogar);Total (superficie útil);32.267
29094 Vélez-Málaga;1 persona;Total (superficie útil);8.683
29094 Vélez-Málaga;2 personas;Total (superficie útil);8.705
29094 Vélez-Málaga;3 personas;Total (superficie útil);6.621
29094 Vélez-Málaga;4 personas;Total (superficie útil);5.863
29094 Vélez-Málaga;5 o más personas;Total (superficie útil);2.395
29901 Torremolinos;Total (tamaño del hogar);Total (superficie útil);29.339
29901 Torremolinos;1 persona;Total (superficie útil);10.226
29901 Torremolinos;2 personas;Total (superficie útil);8.050
29901 Torremolinos;3 personas;Total (superficie útil);5.258
29901 Torremolinos;4 personas;Total (superficie útil);4.102
29901 Torremolinos;5 o más personas;Total (superficie útil);1.703
30016 Cartagena;Total (tamaño del hogar);Total (superficie útil);77.228
30016 Cartagena;1 persona;Total (superficie útil);17.885
30016 Cartagena;2 personas;Total (superficie útil);20.033
30016 Cartagena;3 personas;Total (superficie útil);15.555
30016 Cartagena;4 personas;Total (superficie útil);15.110
30016 Cartagena;5 o más personas;Total (superficie útil);8.645
30024 Lorca;Total (tamaño del hogar);Total (superficie útil);31.833
30024 Lorca;1 persona;Total (superficie útil);6.184
30024 Lorca;2 personas;Total (superficie útil);7.425
30024 Lorca;3 personas;Total (superficie útil);6.771
30024 Lorca;4 personas;Total (superficie útil);6.932
30024 Lorca;5 o más personas;Total (superficie útil);4.521
30027 Molina de Segura;Total (tamaño del hogar);Total (superficie útil);26.050
30027 Molina de Segura;1 persona;Total (superficie útil);5.429
30027 Molina de Segura;2 personas;Total (superficie útil);6.434
30027 Molina de Segura;3 personas;Total (superficie útil);5.731
30027 Molina de Segura;4 personas;Total (superficie útil);5.729
30027 Molina de Segura;5 o más personas;Total (superficie útil);2.727
30030 Murcia;Total (tamaño del hogar);Total (superficie útil);163.570
30030 Murcia;1 persona;Total (superficie útil);37.959
30030 Murcia;2 personas;Total (superficie útil);40.165
30030 Murcia;3 personas;Total (superficie útil);33.960
30030 Murcia;4 personas;Total (superficie útil);32.762
30030 Murcia;5 o más personas;Total (superficie útil);18.724
31201 Pamplona/Iruña;Total (tamaño del hogar);Total (superficie útil);82.670
31201 Pamplona/Iruña;1 persona;Total (superficie útil);25.494
31201 Pamplona/Iruña;2 personas;Total (superficie útil);23.649
31201 Pamplona/Iruña;3 personas;Total (superficie útil);15.330
31201 Pamplona/Iruña;4 personas;Total (superficie útil);12.006
31201 Pamplona/Iruña;5 o más personas;Total (superficie útil);6.191
32054 Ourense;Total (tamaño del hogar);Total (superficie útil);44.981
32054 Ourense;1 persona;Total (superficie útil);14.170
32054 Ourense;2 personas;Total (superficie útil);13.732
32054 Ourense;3 personas;Total (superficie útil);9.470
32054 Ourense;4 personas;Total (superficie útil);5.605
32054 Ourense;5 o más personas;Total (superficie útil);2.004
33004 Avilés;Total (tamaño del hogar);Total (superficie útil);34.135
33004 Avilés;1 persona;Total (superficie útil);10.778
33004 Avilés;2 personas;Total (superficie útil);10.919
33004 Avilés;3 personas;Total (superficie útil);7.396
33004 Avilés;4 personas;Total (superficie útil);3.953
33004 Avilés;5 o más personas;Total (superficie útil);1.089
33024 Gijón;Total (tamaño del hogar);Total (superficie útil);120.349
33024 Gijón;1 persona;Total (superficie útil);38.928
33024 Gijón;2 personas;Total (superficie útil);39.375
33024 Gijón;3 personas;Total (superficie útil);24.710
33024 Gijón;4 personas;Total (superficie útil);13.156
33024 Gijón;5 o más personas;Total (superficie útil);4.180
33044 Oviedo;Total (tamaño del hogar);Total (superficie útil);95.561
33044 Oviedo;1 persona;Total (superficie útil);31.116
33044 Oviedo;2 personas;Total (superficie útil);29.690
33044 Oviedo;3 personas;Total (superficie útil);19.563
33044 Oviedo;4 personas;Total (superficie útil);11.349
33044 Oviedo;5 o más personas;Total (superficie útil);3.843
33066 Siero;Total (tamaño del hogar);Total (superficie útil);21.184
33066 Siero;1 persona;Total (superficie útil);5.835
33066 Siero;2 personas;Total (superficie útil);6.345
33066 Siero;3 personas;Total (superficie útil);4.941
33066 Siero;4 personas;Total (superficie útil);3.055
33066 Siero;5 o más personas;Total (superficie útil);1.008
34120 Palencia;Total (tamaño del hogar);Total (superficie útil);33.006
34120 Palencia;1 persona;Total (superficie útil);10.452
34120 Palencia;2 personas;Total (superficie útil);9.882
34120 Palencia;3 personas;Total (superficie útil);6.918
34120 Palencia;4 personas;Total (superficie útil);4.436
34120 Palencia;5 o más personas;Total (superficie útil);1.318
35004 Arrecife;Total (tamaño del hogar);Total (superficie útil);22.697
35004 Arrecife;1 persona;Total (superficie útil);5.282
35004 Arrecife;2 personas;Total (superficie útil);5.678
35004 Arrecife;3 personas;Total (superficie útil);4.997
35004 Arrecife;4 personas;Total (superficie útil);3.663
35004 Arrecife;5 o más personas;Total (superficie útil);3.077
35016 Palmas de Gran Canaria, Las;Total (tamaño del hogar);Total (superficie útil);143.195
35016 Palmas de Gran Canaria, Las;1 persona;Total (superficie útil);36.913
35016 Palmas de Gran Canaria, Las;2 personas;Total (superficie útil);38.672
35016 Palmas de Gran Canaria, Las;3 personas;Total (superficie útil);31.725
35016 Palmas de Gran Canaria, Las;4 personas;Total (superficie útil);22.133
35016 Palmas de Gran Canaria, Las;5 o más personas;Total (superficie útil);13.752
35019 San Bartolomé de Tirajana;Total (tamaño del hogar);Total (superficie útil);22.312
35019 San Bartolomé de Tirajana;1 persona;Total (superficie útil);7.736
35019 San Bartolomé de Tirajana;2 personas;Total (superficie útil);5.986
35019 San Bartolomé de Tirajana;3 personas;Total (superficie útil);4.029
35019 San Bartolomé de Tirajana;4 personas;Total (superficie útil);2.744
35019 San Bartolomé de Tirajana;5 o más personas;Total (superficie útil);1.817
35022 Santa Lucía de Tirajana;Total (tamaño del hogar);Total (superficie útil);26.309
35022 Santa Lucía de Tirajana;1 persona;Total (superficie útil);5.780
35022 Santa Lucía de Tirajana;2 personas;Total (superficie útil);6.635
35022 Santa Lucía de Tirajana;3 personas;Total (superficie útil);6.215
35022 Santa Lucía de Tirajana;4 personas;Total (superficie útil);4.544
35022 Santa Lucía de Tirajana;5 o más personas;Total (superficie útil);3.135
35026 Telde;Total (tamaño del hogar);Total (superficie útil);38.205
35026 Telde;1 persona;Total (superficie útil);9.369
35026 Telde;2 personas;Total (superficie útil);9.646
35026 Telde;3 personas;Total (superficie útil);8.928
35026 Telde;4 personas;Total (superficie útil);6.634
35026 Telde;5 o más personas;Total (superficie útil);3.628
36038 Pontevedra;Total (tamaño del hogar);Total (superficie útil);33.017
36038 Pontevedra;1 persona;Total (superficie útil);8.799
36038 Pontevedra;2 personas;Total (superficie útil);9.387
36038 Pontevedra;3 personas;Total (superficie útil);7.254
36038 Pontevedra;4 personas;Total (superficie útil);5.303
36038 Pontevedra;5 o más personas;Total (superficie útil);2.274
36057 Vigo;Total (tamaño del hogar);Total (superficie útil);114.082
36057 Vigo;1 persona;Total (superficie útil);29.871
36057 Vigo;2 personas;Total (superficie útil);32.045
36057 Vigo;3 personas;Total (superficie útil);24.834
36057 Vigo;4 personas;Total (superficie útil);18.390
36057 Vigo;5 o más personas;Total (superficie útil);8.942
37274 Salamanca;Total (tamaño del hogar);Total (superficie útil);63.989
37274 Salamanca;1 persona;Total (superficie útil);22.285
37274 Salamanca;2 personas;Total (superficie útil);19.301
37274 Salamanca;3 personas;Total (superficie útil);12.190
37274 Salamanca;4 personas;Total (superficie útil);7.549
37274 Salamanca;5 o más personas;Total (superficie útil);2.664
38006 Arona;Total (tamaño del hogar);Total (superficie útil);33.223
38006 Arona;1 persona;Total (superficie útil);9.985
38006 Arona;2 personas;Total (superficie útil);9.328
38006 Arona;3 personas;Total (superficie útil);6.556
38006 Arona;4 personas;Total (superficie útil);4.394
38006 Arona;5 o más personas;Total (superficie útil);2.960
38017 Granadilla de Abona;Total (tamaño del hogar);Total (superficie útil);19.311
38017 Granadilla de Abona;1 persona;Total (superficie útil);4.787
38017 Granadilla de Abona;2 personas;Total (superficie útil);5.051
38017 Granadilla de Abona;3 personas;Total (superficie útil);4.302
38017 Granadilla de Abona;4 personas;Total (superficie útil);3.039
38017 Granadilla de Abona;5 o más personas;Total (superficie útil);2.132
38023 San Cristóbal de La Laguna;Total (tamaño del hogar);Total (superficie útil);59.144
38023 San Cristóbal de La Laguna;1 persona;Total (superficie útil);15.395
38023 San Cristóbal de La Laguna;2 personas;Total (superficie útil);14.996
38023 San Cristóbal de La Laguna;3 personas;Total (superficie útil);13.269
38023 San Cristóbal de La Laguna;4 personas;Total (superficie útil);9.594
38023 San Cristóbal de La Laguna;5 o más personas;Total (superficie útil);5.890
38038 Santa Cruz de Tenerife;Total (tamaño del hogar);Total (superficie útil);81.056
38038 Santa Cruz de Tenerife;1 persona;Total (superficie útil);22.786
38038 Santa Cruz de Tenerife;2 personas;Total (superficie útil);22.101
38038 Santa Cruz de Tenerife;3 personas;Total (superficie útil);17.149
38038 Santa Cruz de Tenerife;4 personas;Total (superficie útil);11.955
38038 Santa Cruz de Tenerife;5 o más personas;Total (superficie útil);7.065
39075 Santander;Total (tamaño del hogar);Total (superficie útil);72.467
39075 Santander;1 persona;Total (superficie útil);22.771
39075 Santander;2 personas;Total (superficie útil);21.703
39075 Santander;3 personas;Total (superficie útil);14.256
39075 Santander;4 personas;Total (superficie útil);9.292
39075 Santander;5 o más personas;Total (superficie útil);4.445
39087 Torrelavega;Total (tamaño del hogar);Total (superficie útil);21.213
39087 Torrelavega;1 persona;Total (superficie útil);6.052
39087 Torrelavega;2 personas;Total (superficie útil);6.602
39087 Torrelavega;3 personas;Total (superficie útil);4.541
39087 Torrelavega;4 personas;Total (superficie útil);2.928
39087 Torrelavega;5 o más personas;Total (superficie útil);1.090
40194 Segovia;Total (tamaño del hogar);Total (superficie útil);20.808
40194 Segovia;1 persona;Total (superficie útil);6.389
40194 Segovia;2 personas;Total (superficie útil);5.810
40194 Segovia;3 personas;Total (superficie útil);4.093
40194 Segovia;4 personas;Total (superficie útil);3.079
40194 Segovia;5 o más personas;Total (superficie útil);1.437
41004 Alcalá de Guadaíra;Total (tamaño del hogar);Total (superficie útil);26.922
41004 Alcalá de Guadaíra;1 persona;Total (superficie útil);5.240
41004 Alcalá de Guadaíra;2 personas;Total (superficie útil);7.055
41004 Alcalá de Guadaíra;3 personas;Total (superficie útil);6.084
41004 Alcalá de Guadaíra;4 personas;Total (superficie útil);6.401
41004 Alcalá de Guadaíra;5 o más personas;Total (superficie útil);2.142
41038 Dos Hermanas;Total (tamaño del hogar);Total (superficie útil);47.885
41038 Dos Hermanas;1 persona;Total (superficie útil);8.428
41038 Dos Hermanas;2 personas;Total (superficie útil);12.496
41038 Dos Hermanas;3 personas;Total (superficie útil);11.436
41038 Dos Hermanas;4 personas;Total (superficie útil);11.426
41038 Dos Hermanas;5 o más personas;Total (superficie útil);4.099
41091 Sevilla;Total (tamaño del hogar);Total (superficie útil);266.588
41091 Sevilla;1 persona;Total (superficie útil);71.162
41091 Sevilla;2 personas;Total (superficie útil);73.909
41091 Sevilla;3 personas;Total (superficie útil);54.457
41091 Sevilla;4 personas;Total (superficie útil);47.003
41091 Sevilla;5 o más personas;Total (superficie útil);20.057
41095 Utrera;Total (tamaño del hogar);Total (superficie útil);18.708
41095 Utrera;1 persona;Total (superficie útil);3.809
41095 Utrera;2 personas;Total (superficie útil);5.114
41095 Utrera;3 personas;Total (superficie útil);4.225
41095 Utrera;4 personas;Total (superficie útil);4.090
41095 Utrera;5 o más personas;Total (superficie útil);1.470
42173 Soria;Total (tamaño del hogar);Total (superficie útil);16.713
42173 Soria;1 persona;Total (superficie útil);5.400
42173 Soria;2 personas;Total (superficie útil);4.543
42173 Soria;3 personas;Total (superficie útil);3.422
42173 Soria;4 personas;Total (superficie útil);2.467
42173 Soria;5 o más personas;Total (superficie útil);881
43123 Reus;Total (tamaño del hogar);Total (superficie útil);40.520
43123 Reus;1 persona;Total (superficie útil);10.430
43123 Reus;2 personas;Total (superficie útil);11.393
43123 Reus;3 personas;Total (superficie útil);8.444
43123 Reus;4 personas;Total (superficie útil);6.912
43123 Reus;5 o más personas;Total (superficie útil);3.341
43148 Tarragona;Total (tamaño del hogar);Total (superficie útil);53.551
43148 Tarragona;1 persona;Total (superficie útil);14.635
43148 Tarragona;2 personas;Total (superficie útil);15.722
43148 Tarragona;3 personas;Total (superficie útil);10.702
43148 Tarragona;4 personas;Total (superficie útil);8.313
43148 Tarragona;5 o más personas;Total (superficie útil);4.179
44216 Teruel;Total (tamaño del hogar);Total (superficie útil);14.270
44216 Teruel;1 persona;Total (superficie útil);4.133
44216 Teruel;2 personas;Total (superficie útil);3.826
44216 Teruel;3 personas;Total (superficie útil);3.027
44216 Teruel;4 personas;Total (superficie útil);2.487
44216 Teruel;5 o más personas;Total (superficie útil);797
45165 Talavera de la Reina;Total (tamaño del hogar);Total (superficie útil);31.662
45165 Talavera de la Reina;1 persona;Total (superficie útil);7.929
45165 Talavera de la Reina;2 personas;Total (superficie útil);8.761
45165 Talavera de la Reina;3 personas;Total (superficie útil);6.803
45165 Talavera de la Reina;4 personas;Total (superficie útil);5.640
45165 Talavera de la Reina;5 o más personas;Total (superficie útil);2.529
45168 Toledo;Total (tamaño del hogar);Total (superficie útil);32.321
45168 Toledo;1 persona;Total (superficie útil);9.024
45168 Toledo;2 personas;Total (superficie útil);8.301
45168 Toledo;3 personas;Total (superficie útil);6.400
45168 Toledo;4 personas;Total (superficie útil);5.527
45168 Toledo;5 o más personas;Total (superficie útil);3.069
46131 Gandia;Total (tamaño del hogar);Total (superficie útil);30.322
46131 Gandia;1 persona;Total (superficie útil);8.714
46131 Gandia;2 personas;Total (superficie útil);8.413
46131 Gandia;3 personas;Total (superficie útil);6.239
46131 Gandia;4 personas;Total (superficie útil);4.727
46131 Gandia;5 o más personas;Total (superficie útil);2.229
46190 Paterna;Total (tamaño del hogar);Total (superficie útil);27.007
46190 Paterna;1 persona;Total (superficie útil);6.462
46190 Paterna;2 personas;Total (superficie útil);7.153
46190 Paterna;3 personas;Total (superficie útil);6.189
46190 Paterna;4 personas;Total (superficie útil);5.243
46190 Paterna;5 o más personas;Total (superficie útil);1.960
46220 Sagunto/Sagunt;Total (tamaño del hogar);Total (superficie útil);27.883
46220 Sagunto/Sagunt;1 persona;Total (superficie útil);8.168
46220 Sagunto/Sagunt;2 personas;Total (superficie útil);8.262
46220 Sagunto/Sagunt;3 personas;Total (superficie útil);5.733
46220 Sagunto/Sagunt;4 personas;Total (superficie útil);4.262
46220 Sagunto/Sagunt;5 o más personas;Total (superficie útil);1.458
46244 Torrent;Total (tamaño del hogar);Total (superficie útil);30.874
46244 Torrent;1 persona;Total (superficie útil);6.795
46244 Torrent;2 personas;Total (superficie útil);8.443
46244 Torrent;3 personas;Total (superficie útil);6.967
46244 Torrent;4 personas;Total (superficie útil);6.151
46244 Torrent;5 o más personas;Total (superficie útil);2.518
46250 València;Total (tamaño del hogar);Total (superficie útil);323.171
46250 València;1 persona;Total (superficie útil);96.493
46250 València;2 personas;Total (superficie útil);93.169
46250 València;3 personas;Total (superficie útil);64.611
46250 València;4 personas;Total (superficie útil);48.242
46250 València;5 o más personas;Total (superficie útil);20.656
47186 Valladolid;Total (tamaño del hogar);Total (superficie útil);127.185
47186 Valladolid;1 persona;Total (superficie útil);39.631
47186 Valladolid;2 personas;Total (superficie útil);39.140
47186 Valladolid;3 personas;Total (superficie útil);25.488
47186 Valladolid;4 personas;Total (superficie útil);16.863
47186 Valladolid;5 o más personas;Total (superficie útil);6.063
48013 Barakaldo;Total (tamaño del hogar);Total (superficie útil);42.953
48013 Barakaldo;1 persona;Total (superficie útil);12.114
48013 Barakaldo;2 personas;Total (superficie útil);13.992
48013 Barakaldo;3 personas;Total (superficie útil);9.398
48013 Barakaldo;4 personas;Total (superficie útil);5.927
48013 Barakaldo;5 o más personas;Total (superficie útil);1.522
48020 Bilbao;Total (tamaño del hogar);Total (superficie útil);149.461
48020 Bilbao;1 persona;Total (superficie útil);47.407
48020 Bilbao;2 personas;Total (superficie útil);47.145
48020 Bilbao;3 personas;Total (superficie útil);28.826
48020 Bilbao;4 personas;Total (superficie útil);19.589
48020 Bilbao;5 o más personas;Total (superficie útil);6.494
48044 Getxo;Total (tamaño del hogar);Total (superficie útil);30.426
48044 Getxo;1 persona;Total (superficie útil);7.738
48044 Getxo;2 personas;Total (superficie útil);9.401
48044 Getxo;3 personas;Total (superficie útil);6.105
48044 Getxo;4 personas;Total (superficie útil);5.046
48044 Getxo;5 o más personas;Total (superficie útil);2.136
49275 Zamora;Total (tamaño del hogar);Total (superficie útil);26.793
49275 Zamora;1 persona;Total (superficie útil);8.867
49275 Zamora;2 personas;Total (superficie útil);8.206
49275 Zamora;3 personas;Total (superficie útil);5.464
49275 Zamora;4 personas;Total (superficie útil);3.389
49275 Zamora;5 o más personas;Total (superficie útil);867
50297 Zaragoza;Total (tamaño del hogar);Total (superficie útil);280.054
50297 Zaragoza;1 persona;Total (superficie útil);80.672
50297 Zaragoza;2 personas;Total (superficie útil);84.237
50297 Zaragoza;3 personas;Total (superficie útil);57.506
50297 Zaragoza;4 personas;Total (superficie útil);42.713
50297 Zaragoza;5 o más personas;Total (superficie útil);14.926
51001 Ceuta;Total (tamaño del hogar);Total (superficie útil);25.380
51001 Ceuta;1 persona;Total (superficie útil);5.254
51001 Ceuta;2 personas;Total (superficie útil);5.255
51001 Ceuta;3 personas;Total (superficie útil);4.735
51001 Ceuta;4 personas;Total (superficie útil);4.763
51001 Ceuta;5 o más personas;Total (superficie útil);5.373
52001 Melilla;Total (tamaño del hogar);Total (superficie útil);25.534
52001 Melilla;1 persona;Total (superficie útil);4.634
52001 Melilla;2 personas;Total (superficie útil);5.230
52001 Melilla;3 personas;Total (superficie útil);4.921
52001 Melilla;4 personas;Total (superficie útil);4.805
52001 Melilla;5 o más personas;Total (superficie útil);5.944
