Municipios (con más de 50.000 habitantes) y capitales de provincia;Régimen de tenencia de la vivienda;Total
48013 Barakaldo;Total (régimen de tenencia);42.953
48013 Barakaldo;En propiedad;36.675
48013 Barakaldo;En alquiler;4.744
48013 Barakaldo;Otro régimen de tenencia;1.534
48020 Bilbao;Total (régimen de tenencia);149.461
48020 Bilbao;En propiedad;122.697
48020 Bilbao;En alquiler;21.483
48020 Bilbao;Otro régimen de tenencia;5.281
48044 Getxo;Total (régimen de tenencia);30.426
48044 Getxo;En propiedad;25.337
48044 Getxo;En alquiler;4.186
48044 Getxo;Otro régimen de tenencia;903
49275 Zamora;Total (régimen de tenencia);26.793
49275 Zamora;En propiedad;21.117
49275 Zamora;En alquiler;3.380
49275 Zamora;Otro régimen de tenencia;2.296
50297 Zaragoza;Total (régimen de tenencia);280.054
50297 Zaragoza;En propiedad;213.969
50297 Zaragoza;En alquiler;50.140
50297 Zaragoza;Otro régimen de tenencia;15.945
51001 Ceuta;Total (régimen de tenencia);25.380
51001 Ceuta;En propiedad;18.138
51001 Ceuta;En alquiler;4.525
51001 Ceuta;Otro régimen de tenencia;2.717
52001 Melilla;Total (régimen de tenencia);25.534
52001 Melilla;En propiedad;15.843
52001 Melilla;En alquiler;8.065
52001 Melilla;Otro régimen de tenencia;1.626
