Municipios (con más de 50.000 habitantes) y capitales de provincia;Régimen de tenencia de la vivienda;Total
08205 Sant Cugat del Vallès;Otro régimen de tenencia;1.787
08245 Santa Coloma de Gramenet;Total (régimen de tenencia);44.180
08245 Santa Coloma de Gramenet;En propiedad;30.841
08245 Santa Coloma de Gramenet;En alquiler;10.465
08245 Santa Coloma de Gramenet;Otro régimen de tenencia;2.874
08266 Cerdanyola del Vallès;Total (régimen de tenencia);21.726
08266 Cerdanyola del Vallès;En propiedad;16.491
08266 Cerdanyola del Vallès;En alquiler;4.082
08266 Cerdanyola del Vallès;Otro régimen de tenencia;1.153
08279 Terrassa;Total (régimen de tenencia);84.791
08279 Terrassa;En propiedad;60.652
08279 Terrassa;En alquiler;19.066
08279 Terrassa;Otro régimen de tenencia;5.073
08301 Viladecans;Total (régimen de tenencia);24.405
08301 Viladecans;En propiedad;19.606
08301 Viladecans;En alquiler;3.726
08301 Viladecans;Otro régimen de tenencia;1.073
08307 Vilanova i la Geltrú;Total (régimen de tenencia);26.067
08307 Vilanova i la Geltrú;En propiedad;18.219
08307 Vilanova i la Geltrú;En alquiler;6.133
08307 Vilanova i la Geltrú;Otro régimen de tenencia;1.715
09059 Burgos;Total (régimen de tenencia);73.410
09059 Burgos;En propiedad;59.656
09059 Burgos;En alquiler;10.277
09059 Burgos;Otro régimen de tenencia;3.477
10037 Cáceres;Total (régimen de tenencia);39.048
10037 Cáceres;En propiedad;30.790
10037 Cáceres;En alquiler;5.207
10037 Cáceres;Otro régimen de tenencia;3.051
11004 Algeciras;Total (régimen de tenencia);45.430
11004 Algeciras;En propiedad;35.943
11004 Algeciras;En alquiler;6.298
11004 Algeciras;Otro régimen de tenencia;3.189
11012 Cádiz;Total (régimen de tenencia);46.071
11012 Cádiz;En propiedad;34.807
11012 Cádiz;En alquiler;7.587
11012 Cádiz;Otro régimen de tenencia;3.677
11015 Chiclana de la Frontera;Total (régimen de tenencia);31.638
11015 Chiclana de la Frontera;En propiedad;25.088
11015 Chiclana de la Frontera;En alquiler;4.418
11015 Chiclana de la Frontera;Otro régimen de tenencia;2.132
11020 Jerez de la Frontera;Total (régimen de tenencia);79.708
11020 Jerez de la Frontera;En propiedad;66.173
11020 Jerez de la Frontera;En alquiler;9.068
11020 Jerez de la Frontera;Otro régimen de tenencia;4.467
11022 Línea de la Concepción, La;Total (régimen de tenencia);24.282
11022 Línea de la Concepción, La;En propiedad;18.753
11022 Línea de la Concepción, La;En alquiler;3.627
11022 Línea de la Concepción, La;Otro régimen de tenencia;1.902
11027 Puerto de Santa María, El;Total (régimen de tenencia);32.489
11027 Puerto de Santa María, El;En propiedad;25.882
11027 Puerto de Santa María, El;En alquiler;4.514
11027 Puerto de Santa María, El;Otro régimen de tenencia;2.093
11031 San Fernando;Total (régimen de tenencia);34.878
11031 San Fernando;En propiedad;29.093
11031 San Fernando;En alquiler;3.813
11031 San Fernando;Otro régimen de tenencia;1.972
11032 Sanlúcar de Barrameda;Total (régimen de tenencia);25.294
11032 Sanlúcar de Barrameda;En propiedad;19.283
11032 Sanlúcar de Barrameda;En alquiler;4.225
11032 Sanlúcar de Barrameda;Otro régimen de tenencia;1.786
12040 Castelló de la Plana;Total (régimen de tenencia);69.787
12040 Castelló de la Plana;En propiedad;52.811
12040 Castelló de la Plana;En alquiler;10.267
12040 Castelló de la Plana;Otro régimen de tenencia;6.709
12135 Vila-real;Total (régimen de tenencia);19.177
12135 Vila-real;En propiedad;15.672
12135 Vila-real;En alquiler;1.928
12135 Vila-real;Otro régimen de tenencia;1.577
13034 Ciudad Real;Total (régimen de tenencia);29.875
13034 Ciudad Real;En propiedad;23.061
13034 Ciudad Real;En alquiler;5.170
13034 Ciudad Real;Otro régimen de tenencia;1.644
14021 Córdoba;Total (régimen de tenencia);122.668
14021 Córdoba;En propiedad;102.031
14021 Córdoba;En alquiler;13.264
14021 Córdoba;Otro régimen de tenencia;7.373
15030 Coruña, A;Total (régimen de tenencia);104.637
15030 Coruña, A;En propiedad;69.246
15030 Coruña, A;En alquiler;24.679
15030 Coruña, A;Otro régimen de tenencia;10.712
15036 Ferrol;Total (régimen de tenencia);29.247
15036 Ferrol;En propiedad;20.852
15036 Ferrol;En alquiler;5.680
15036 Ferrol;Otro régimen de tenencia;2.715
15078 Santiago de Compostela;Total (régimen de tenencia);39.315
15078 Santiago de Compostela;En propiedad;25.700
15078 Santiago de Compostela;En alquiler;9.265
15078 Santiago de Compostela;Otro régimen de tenencia;4.350
16078 Cuenca;Total (régimen de tenencia);22.187
16078 Cuenca;En propiedad;17.699
16078 Cuenca;En alquiler;2.930
16078 Cuenca;Otro régimen de tenencia;1.558
17079 Girona;Total (régimen de tenencia);38.711
17079 Girona;En propiedad;24.892
17079 Girona;En alquiler;11.946
17079 Girona;Otro régimen de tenencia;1.873
18087 Granada;Total (régimen de tenencia);98.316
18087 Granada;En propiedad;70.361
18087 Granada;En alquiler;18.166
18087 Granada;Otro régimen de tenencia;9.789
18140 Motril;Total (régimen de tenencia);21.576
18140 Motril;En propiedad;16.984
18140 Motril;En alquiler;3.036
18140 Motril;Otro régimen de tenencia;1.556
19130 Guadalajara;Total (régimen de tenencia);34.106
19130 Guadalajara;En propiedad;24.112
19130 Guadalajara;En alquiler;7.318
19130 Guadalajara;Otro régimen de tenencia;2.676
20045 Irun;Total (régimen de tenencia);25.411
20045 Irun;En propiedad;20.433
20045 Irun;En alquiler;4.039
20045 Irun;Otro régimen de tenencia;939
20069 Donostia/San Sebastián;Total (régimen de tenencia);79.333
20069 Donostia/San Sebastián;En propiedad;62.277
20069 Donostia/San Sebastián;En alquiler;14.818
20069 Donostia/San Sebastián;Otro régimen de tenencia;2.238
21041 Huelva;Total (régimen de tenencia);55.813
21041 Huelva;En propiedad;45.648
21041 Huelva;En alquiler;4.786
21041 Huelva;Otro régimen de tenencia;5.379
22125 Huesca;Total (régimen de tenencia);21.830
22125 Huesca;En propiedad;15.845
22125 Huesca;En alquiler;4.333
22125 Huesca;Otro régimen de tenencia;1.652
23050 Jaén;Total (régimen de tenencia);43.149
23050 Jaén;En propiedad;36.008
23050 Jaén;En alquiler;4.223
23050 Jaén;Otro régimen de tenencia;2.918
23055 Linares;Total (régimen de tenencia);21.526
23055 Linares;En propiedad;17.721
23055 Linares;En alquiler;2.100
23055 Linares;Otro régimen de tenencia;1.705
24089 León;Total (régimen de tenencia);55.185
24089 León;En propiedad;37.878
24089 León;En alquiler;11.541
24089 León;Otro régimen de tenencia;5.766
24115 Ponferrada;Total (régimen de tenencia);27.569
24115 Ponferrada;En propiedad;19.304
24115 Ponferrada;En alquiler;5.510
24115 Ponferrada;Otro régimen de tenencia;2.755
25120 Lleida;Total (régimen de tenencia);54.542
25120 Lleida;En propiedad;38.694
25120 Lleida;En alquiler;12.648
25120 Lleida;Otro régimen de tenencia;3.200
26089 Logroño;Total (régimen de tenencia);62.937
26089 Logroño;En propiedad;49.958
26089 Logroño;En alquiler;9.474
26089 Logroño;Otro régimen de tenencia;3.505
27028 Lugo;Total (régimen de tenencia);41.300
27028 Lugo;En propiedad;30.409
27028 Lugo;En alquiler;7.596
27028 Lugo;Otro régimen de tenencia;3.295
28005 Alcalá de Henares;Total (régimen de tenencia);72.991
28005 Alcalá de Henares;En propiedad;56.370
28005 Alcalá de Henares;En alquiler;13.323
28005 Alcalá de Henares;Otro régimen de tenencia;3.298
28006 Alcobendas;Total (régimen de tenencia);40.084
28006 Alcobendas;En propiedad;30.002
28006 Alcobendas;En alquiler;8.584
28006 Alcobendas;Otro régimen de tenencia;1.498
28007 Alcorcón;Total (régimen de tenencia);65.867
28007 Alcorcón;En propiedad;53.514
28007 Alcorcón;En alquiler;9.468
28007 Alcorcón;Otro régimen de tenencia;2.885
28013 Aranjuez;Total (régimen de tenencia);21.571
28013 Aranjuez;En propiedad;15.827
28013 Aranjuez;En alquiler;4.682
28013 Aranjuez;Otro régimen de tenencia;1.062
28014 Arganda del Rey;Total (régimen de tenencia);19.643
28014 Arganda del Rey;En propiedad;14.822
28014 Arganda del Rey;En alquiler;4.041
28014 Arganda del Rey;Otro régimen de tenencia;780
28022 Boadilla del Monte;Total (régimen de tenencia);18.060
28022 Boadilla del Monte;En propiedad;14.876
28022 Boadilla del Monte;En alquiler;2.745
28022 Boadilla del Monte;Otro régimen de tenencia;439
28045 Colmenar Viejo;Total (régimen de tenencia);17.888
28045 Colmenar Viejo;En propiedad;13.575
28045 Colmenar Viejo;En alquiler;3.765
28045 Colmenar Viejo;Otro régimen de tenencia;548
28047 Collado Villalba;Total (régimen de tenencia);23.281
28047 Collado Villalba;En propiedad;16.766
28047 Collado Villalba;En alquiler;5.431
28047 Collado Villalba;Otro régimen de tenencia;1.084
28049 Coslada;Total (régimen de tenencia);29.649
28049 Coslada;En propiedad;24.042
28049 Coslada;En alquiler;4.270
28049 Coslada;Otro régimen de tenencia;1.337
28058 Fuenlabrada;Total (régimen de tenencia);67.078
28058 Fuenlabrada;En propiedad;55.353
28058 Fuenlabrada;En alquiler;8.969
28058 Fuenlabrada;Otro régimen de tenencia;2.756
28065 Getafe;Total (régimen de tenencia);70.627
28065 Getafe;En propiedad;56.955
28065 Getafe;En alquiler;10.990
28065 Getafe;Otro régimen de tenencia;2.682
28074 Leganés;Total (régimen de tenencia);72.285
28074 Leganés;En propiedad;57.836
28074 Leganés;En alquiler;11.236
28074 Leganés;Otro régimen de tenencia;3.213
28079 Madrid;Total (régimen de tenencia);1.322.855
28079 Madrid;En propiedad;927.975
28079 Madrid;En alquiler;317.766
28079 Madrid;Otro régimen de tenencia;77.114
28080 Majadahonda;Total (régimen de tenencia);23.827
28080 Majadahonda;En propiedad;17.692
28080 Majadahonda;En alquiler;5.178
28080 Majadahonda;Otro régimen de tenencia;957
28092 Móstoles;Total (régimen de tenencia);76.662
28092 Móstoles;En propiedad;62.012
28092 Móstoles;En alquiler;11.193
28092 Móstoles;Otro régimen de tenencia;3.457
28106 Parla;Total (régimen de tenencia);44.570
28106 Parla;En propiedad;34.097
28106 Parla;En alquiler;8.614
28106 Parla;Otro régimen de tenencia;1.859
28113 Pinto;Total (régimen de tenencia);19.481
28113 Pinto;En propiedad;15.287
28113 Pinto;En alquiler;3.506
28113 Pinto;Otro régimen de tenencia;688
28115 Pozuelo de Alarcón;Total (régimen de tenencia);27.767
28115 Pozuelo de Alarcón;En propiedad;21.762
28115 Pozuelo de Alarcón;En alquiler;5.046
28115 Pozuelo de Alarcón;Otro régimen de tenencia;959
28123 Rivas-Vaciamadrid;Total (régimen de tenencia);31.289
28123 Rivas-Vaciamadrid;En propiedad;26.474
28123 Rivas-Vaciamadrid;En alquiler;3.980
28123 Rivas-Vaciamadrid;Otro régimen de tenencia;835
28127 Rozas de Madrid, Las;Total (régimen de tenencia);31.307
28127 Rozas de Madrid, Las;En propiedad;24.677
28127 Rozas de Madrid, Las;En alquiler;5.805
28127 Rozas de Madrid, Las;Otro régimen de tenencia;825
28134 San Sebastián de los Reyes;Total (régimen de tenencia);32.904
28134 San Sebastián de los Reyes;En propiedad;25.536
28134 San Sebastián de los Reyes;En alquiler;6.267
