Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
03009 Alcoy/Alcoi;Total;De 2011 a 2020;253
03009 Alcoy/Alcoi;Total;No consta;889
03009 Alcoy/Alcoi;Vivienda principal;Total;24.615
03009 Alcoy/Alcoi;Vivienda principal;Antes de 1900;14
03009 Alcoy/Alcoi;Vivienda principal;De 1900 a 1920;609
03009 Alcoy/Alcoi;Vivienda principal;De 1921 a 1940;968
03009 Alcoy/Alcoi;Vivienda principal;De 1941 a 1950;821
03009 Alcoy/Alcoi;Vivienda principal;De 1951 a 1960;3.023
03009 Alcoy/Alcoi;Vivienda principal;De 1961 a 1970;3.997
03009 Alcoy/Alcoi;Vivienda principal;De 1971 a 1980;5.663
03009 Alcoy/Alcoi;Vivienda principal;De 1981 a 1990;2.108
03009 Alcoy/Alcoi;Vivienda principal;De 1991 a 2000;3.086
03009 Alcoy/Alcoi;Vivienda principal;De 2001 a 2010;4.041
03009 Alcoy/Alcoi;Vivienda principal;De 2011 a 2020;190
03009 Alcoy/Alcoi;Vivienda principal;No consta;95
03009 Alcoy/Alcoi;Vivienda no principal;Total;9.261
03009 Alcoy/Alcoi;Vivienda no principal;Antes de 1900;38
03009 Alcoy/Alcoi;Vivienda no principal;De 1900 a 1920;1.286
03009 Alcoy/Alcoi;Vivienda no principal;De 1921 a 1940;1.213
03009 Alcoy/Alcoi;Vivienda no principal;De 1941 a 1950;608
03009 Alcoy/Alcoi;Vivienda no principal;De 1951 a 1960;1.144
03009 Alcoy/Alcoi;Vivienda no principal;De 1961 a 1970;1.157
03009 Alcoy/Alcoi;Vivienda no principal;De 1971 a 1980;1.240
03009 Alcoy/Alcoi;Vivienda no principal;De 1981 a 1990;525
03009 Alcoy/Alcoi;Vivienda no principal;De 1991 a 2000;418
03009 Alcoy/Alcoi;Vivienda no principal;De 2001 a 2010;775
03009 Alcoy/Alcoi;Vivienda no principal;De 2011 a 2020;63
03009 Alcoy/Alcoi;Vivienda no principal;No consta;794
03014 Alicante/Alacant;Total;Total;187.658
03014 Alicante/Alacant;Total;Antes de 1900;350
03014 Alicante/Alacant;Total;De 1900 a 1920;1.752
03014 Alicante/Alacant;Total;De 1921 a 1940;3.098
03014 Alicante/Alacant;Total;De 1941 a 1950;2.582
03014 Alicante/Alacant;Total;De 1951 a 1960;9.027
03014 Alicante/Alacant;Total;De 1961 a 1970;48.513
03014 Alicante/Alacant;Total;De 1971 a 1980;36.844
03014 Alicante/Alacant;Total;De 1981 a 1990;23.531
03014 Alicante/Alacant;Total;De 1991 a 2000;21.912
03014 Alicante/Alacant;Total;De 2001 a 2010;33.951
03014 Alicante/Alacant;Total;De 2011 a 2020;3.395
03014 Alicante/Alacant;Total;No consta;2.703
03014 Alicante/Alacant;Vivienda principal;Total;135.864
03014 Alicante/Alacant;Vivienda principal;Antes de 1900;160
03014 Alicante/Alacant;Vivienda principal;De 1900 a 1920;842
03014 Alicante/Alacant;Vivienda principal;De 1921 a 1940;1.673
03014 Alicante/Alacant;Vivienda principal;De 1941 a 1950;1.592
03014 Alicante/Alacant;Vivienda principal;De 1951 a 1960;6.476
03014 Alicante/Alacant;Vivienda principal;De 1961 a 1970;34.126
03014 Alicante/Alacant;Vivienda principal;De 1971 a 1980;27.129
03014 Alicante/Alacant;Vivienda principal;De 1981 a 1990;17.252
03014 Alicante/Alacant;Vivienda principal;De 1991 a 2000;17.057
03014 Alicante/Alacant;Vivienda principal;De 2001 a 2010;26.575
03014 Alicante/Alacant;Vivienda principal;De 2011 a 2020;1.875
03014 Alicante/Alacant;Vivienda principal;No consta;1.107
03014 Alicante/Alacant;Vivienda no principal;Total;51.794
03014 Alicante/Alacant;Vivienda no principal;Antes de 1900;190
03014 Alicante/Alacant;Vivienda no principal;De 1900 a 1920;910
03014 Alicante/Alacant;Vivienda no principal;De 1921 a 1940;1.425
03014 Alicante/Alacant;Vivienda no principal;De 1941 a 1950;990
03014 Alicante/Alacant;Vivienda no principal;De 1951 a 1960;2.551
03014 Alicante/Alacant;Vivienda no principal;De 1961 a 1970;14.387
03014 Alicante/Alacant;Vivienda no principal;De 1971 a 1980;9.715
03014 Alicante/Alacant;Vivienda no principal;De 1981 a 1990;6.279
03014 Alicante/Alacant;Vivienda no principal;De 1991 a 2000;4.855
03014 Alicante/Alacant;Vivienda no principal;De 2001 a 2010;7.376
03014 Alicante/Alacant;Vivienda no principal;De 2011 a 2020;1.520
03014 Alicante/Alacant;Vivienda no principal;No consta;1.596
03031 Benidorm;Total;Total;60.479
03031 Benidorm;Total;Antes de 1900;3
03031 Benidorm;Total;De 1900 a 1920;211
03031 Benidorm;Total;De 1921 a 1940;109
03031 Benidorm;Total;De 1941 a 1950;74
03031 Benidorm;Total;De 1951 a 1960;1.277
03031 Benidorm;Total;De 1961 a 1970;12.317
03031 Benidorm;Total;De 1971 a 1980;13.558
03031 Benidorm;Total;De 1981 a 1990;16.286
03031 Benidorm;Total;De 1991 a 2000;7.243
03031 Benidorm;Total;De 2001 a 2010;8.251
03031 Benidorm;Total;De 2011 a 2020;709
03031 Benidorm;Total;No consta;441
03031 Benidorm;Vivienda principal;Total;29.550
03031 Benidorm;Vivienda principal;Antes de 1900;2
03031 Benidorm;Vivienda principal;De 1900 a 1920;92
03031 Benidorm;Vivienda principal;De 1921 a 1940;63
03031 Benidorm;Vivienda principal;De 1941 a 1950;48
03031 Benidorm;Vivienda principal;De 1951 a 1960;668
03031 Benidorm;Vivienda principal;De 1961 a 1970;5.113
03031 Benidorm;Vivienda principal;De 1971 a 1980;6.930
03031 Benidorm;Vivienda principal;De 1981 a 1990;8.598
03031 Benidorm;Vivienda principal;De 1991 a 2000;3.982
03031 Benidorm;Vivienda principal;De 2001 a 2010;3.592
03031 Benidorm;Vivienda principal;De 2011 a 2020;228
03031 Benidorm;Vivienda principal;No consta;234
03031 Benidorm;Vivienda no principal;Total;30.929
03031 Benidorm;Vivienda no principal;Antes de 1900;1
03031 Benidorm;Vivienda no principal;De 1900 a 1920;119
03031 Benidorm;Vivienda no principal;De 1921 a 1940;46
03031 Benidorm;Vivienda no principal;De 1941 a 1950;26
03031 Benidorm;Vivienda no principal;De 1951 a 1960;609
03031 Benidorm;Vivienda no principal;De 1961 a 1970;7.204
03031 Benidorm;Vivienda no principal;De 1971 a 1980;6.628
03031 Benidorm;Vivienda no principal;De 1981 a 1990;7.688
03031 Benidorm;Vivienda no principal;De 1991 a 2000;3.261
03031 Benidorm;Vivienda no principal;De 2001 a 2010;4.659
03031 Benidorm;Vivienda no principal;De 2011 a 2020;481
03031 Benidorm;Vivienda no principal;No consta;207
03065 Elche/Elx;Total;Total;116.080
03065 Elche/Elx;Total;Antes de 1900;169
03065 Elche/Elx;Total;De 1900 a 1920;1.831
03065 Elche/Elx;Total;De 1921 a 1940;1.903
03065 Elche/Elx;Total;De 1941 a 1950;1.520
03065 Elche/Elx;Total;De 1951 a 1960;4.822
03065 Elche/Elx;Total;De 1961 a 1970;19.731
03065 Elche/Elx;Total;De 1971 a 1980;23.369
03065 Elche/Elx;Total;De 1981 a 1990;18.063
03065 Elche/Elx;Total;De 1991 a 2000;15.553
03065 Elche/Elx;Total;De 2001 a 2010;25.559
03065 Elche/Elx;Total;De 2011 a 2020;3.140
03065 Elche/Elx;Total;No consta;420
03065 Elche/Elx;Vivienda principal;Total;88.498
03065 Elche/Elx;Vivienda principal;Antes de 1900;64
03065 Elche/Elx;Vivienda principal;De 1900 a 1920;833
03065 Elche/Elx;Vivienda principal;De 1921 a 1940;888
03065 Elche/Elx;Vivienda principal;De 1941 a 1950;753
03065 Elche/Elx;Vivienda principal;De 1951 a 1960;3.409
