Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
08124 Mollet del Vallès;Vivienda principal;De 2011 a 2020;41
08124 Mollet del Vallès;Vivienda principal;No consta;162
08124 Mollet del Vallès;Vivienda no principal;Total;1.619
08124 Mollet del Vallès;Vivienda no principal;Antes de 1900;8
08124 Mollet del Vallès;Vivienda no principal;De 1900 a 1920;71
08124 Mollet del Vallès;Vivienda no principal;De 1921 a 1940;117
08124 Mollet del Vallès;Vivienda no principal;De 1941 a 1950;19
08124 Mollet del Vallès;Vivienda no principal;De 1951 a 1960;58
08124 Mollet del Vallès;Vivienda no principal;De 1961 a 1970;248
08124 Mollet del Vallès;Vivienda no principal;De 1971 a 1980;371
08124 Mollet del Vallès;Vivienda no principal;De 1981 a 1990;80
08124 Mollet del Vallès;Vivienda no principal;De 1991 a 2000;245
08124 Mollet del Vallès;Vivienda no principal;De 2001 a 2010;225
08124 Mollet del Vallès;Vivienda no principal;De 2011 a 2020;50
08124 Mollet del Vallès;Vivienda no principal;No consta;127
08169 Prat de Llobregat, El;Total;Total;26.518
08169 Prat de Llobregat, El;Total;Antes de 1900;104
08169 Prat de Llobregat, El;Total;De 1900 a 1920;189
08169 Prat de Llobregat, El;Total;De 1921 a 1940;526
08169 Prat de Llobregat, El;Total;De 1941 a 1950;232
08169 Prat de Llobregat, El;Total;De 1951 a 1960;814
08169 Prat de Llobregat, El;Total;De 1961 a 1970;5.153
08169 Prat de Llobregat, El;Total;De 1971 a 1980;9.539
08169 Prat de Llobregat, El;Total;De 1981 a 1990;3.249
08169 Prat de Llobregat, El;Total;De 1991 a 2000;3.569
08169 Prat de Llobregat, El;Total;De 2001 a 2010;2.036
08169 Prat de Llobregat, El;Total;De 2011 a 2020;851
08169 Prat de Llobregat, El;Total;No consta;256
08169 Prat de Llobregat, El;Vivienda principal;Total;24.614
08169 Prat de Llobregat, El;Vivienda principal;Antes de 1900;68
08169 Prat de Llobregat, El;Vivienda principal;De 1900 a 1920;144
08169 Prat de Llobregat, El;Vivienda principal;De 1921 a 1940;427
08169 Prat de Llobregat, El;Vivienda principal;De 1941 a 1950;193
08169 Prat de Llobregat, El;Vivienda principal;De 1951 a 1960;720
08169 Prat de Llobregat, El;Vivienda principal;De 1961 a 1970;4.705
08169 Prat de Llobregat, El;Vivienda principal;De 1971 a 1980;9.045
08169 Prat de Llobregat, El;Vivienda principal;De 1981 a 1990;3.119
08169 Prat de Llobregat, El;Vivienda principal;De 1991 a 2000;3.399
08169 Prat de Llobregat, El;Vivienda principal;De 2001 a 2010;1.892
08169 Prat de Llobregat, El;Vivienda principal;De 2011 a 2020;750
08169 Prat de Llobregat, El;Vivienda principal;No consta;152
08169 Prat de Llobregat, El;Vivienda no principal;Total;1.904
08169 Prat de Llobregat, El;Vivienda no principal;Antes de 1900;36
08169 Prat de Llobregat, El;Vivienda no principal;De 1900 a 1920;45
08169 Prat de Llobregat, El;Vivienda no principal;De 1921 a 1940;99
08169 Prat de Llobregat, El;Vivienda no principal;De 1941 a 1950;39
08169 Prat de Llobregat, El;Vivienda no principal;De 1951 a 1960;94
08169 Prat de Llobregat, El;Vivienda no principal;De 1961 a 1970;448
08169 Prat de Llobregat, El;Vivienda no principal;De 1971 a 1980;494
08169 Prat de Llobregat, El;Vivienda no principal;De 1981 a 1990;130
08169 Prat de Llobregat, El;Vivienda no principal;De 1991 a 2000;170
08169 Prat de Llobregat, El;Vivienda no principal;De 2001 a 2010;144
08169 Prat de Llobregat, El;Vivienda no principal;De 2011 a 2020;101
08169 Prat de Llobregat, El;Vivienda no principal;No consta;104
08184 Rubí;Total;Total;32.476
08184 Rubí;Total;Antes de 1900;132
08184 Rubí;Total;De 1900 a 1920;339
08184 Rubí;Total;De 1921 a 1940;285
08184 Rubí;Total;De 1941 a 1950;114
08184 Rubí;Total;De 1951 a 1960;480
08184 Rubí;Total;De 1961 a 1970;4.284
08184 Rubí;Total;De 1971 a 1980;10.373
08184 Rubí;Total;De 1981 a 1990;2.760
08184 Rubí;Total;De 1991 a 2000;5.743
08184 Rubí;Total;De 2001 a 2010;6.675
08184 Rubí;Total;De 2011 a 2020;550
08184 Rubí;Total;No consta;741
08184 Rubí;Vivienda principal;Total;28.881
08184 Rubí;Vivienda principal;Antes de 1900;84
08184 Rubí;Vivienda principal;De 1900 a 1920;243
08184 Rubí;Vivienda principal;De 1921 a 1940;216
08184 Rubí;Vivienda principal;De 1941 a 1950;81
08184 Rubí;Vivienda principal;De 1951 a 1960;388
08184 Rubí;Vivienda principal;De 1961 a 1970;3.851
08184 Rubí;Vivienda principal;De 1971 a 1980;9.412
08184 Rubí;Vivienda principal;De 1981 a 1990;2.497
08184 Rubí;Vivienda principal;De 1991 a 2000;5.340
08184 Rubí;Vivienda principal;De 2001 a 2010;6.009
08184 Rubí;Vivienda principal;De 2011 a 2020;436
08184 Rubí;Vivienda principal;No consta;324
08184 Rubí;Vivienda no principal;Total;3.595
08184 Rubí;Vivienda no principal;Antes de 1900;48
08184 Rubí;Vivienda no principal;De 1900 a 1920;96
08184 Rubí;Vivienda no principal;De 1921 a 1940;69
08184 Rubí;Vivienda no principal;De 1941 a 1950;33
08184 Rubí;Vivienda no principal;De 1951 a 1960;92
08184 Rubí;Vivienda no principal;De 1961 a 1970;433
08184 Rubí;Vivienda no principal;De 1971 a 1980;961
08184 Rubí;Vivienda no principal;De 1981 a 1990;263
08184 Rubí;Vivienda no principal;De 1991 a 2000;403
08184 Rubí;Vivienda no principal;De 2001 a 2010;666
08184 Rubí;Vivienda no principal;De 2011 a 2020;114
08184 Rubí;Vivienda no principal;No consta;417
08187 Sabadell;Total;Total;92.772
08187 Sabadell;Total;Antes de 1900;607
08187 Sabadell;Total;De 1900 a 1920;2.697
08187 Sabadell;Total;De 1921 a 1940;2.207
08187 Sabadell;Total;De 1941 a 1950;2.668
08187 Sabadell;Total;De 1951 a 1960;8.518
08187 Sabadell;Total;De 1961 a 1970;20.405
08187 Sabadell;Total;De 1971 a 1980;18.971
08187 Sabadell;Total;De 1981 a 1990;6.082
08187 Sabadell;Total;De 1991 a 2000;10.871
08187 Sabadell;Total;De 2001 a 2010;16.288
08187 Sabadell;Total;De 2011 a 2020;2.333
08187 Sabadell;Total;No consta;1.125
08187 Sabadell;Vivienda principal;Total;83.558
08187 Sabadell;Vivienda principal;Antes de 1900;428
08187 Sabadell;Vivienda principal;De 1900 a 1920;2.029
08187 Sabadell;Vivienda principal;De 1921 a 1940;1.762
08187 Sabadell;Vivienda principal;De 1941 a 1950;2.237
08187 Sabadell;Vivienda principal;De 1951 a 1960;7.423
08187 Sabadell;Vivienda principal;De 1961 a 1970;18.833
08187 Sabadell;Vivienda principal;De 1971 a 1980;17.868
08187 Sabadell;Vivienda principal;De 1981 a 1990;5.747
08187 Sabadell;Vivienda principal;De 1991 a 2000;10.052
08187 Sabadell;Vivienda principal;De 2001 a 2010;14.552
08187 Sabadell;Vivienda principal;De 2011 a 2020;1.856
08187 Sabadell;Vivienda principal;No consta;771
08187 Sabadell;Vivienda no principal;Total;9.214
08187 Sabadell;Vivienda no principal;Antes de 1900;179
08187 Sabadell;Vivienda no principal;De 1900 a 1920;668
08187 Sabadell;Vivienda no principal;De 1921 a 1940;445
08187 Sabadell;Vivienda no principal;De 1941 a 1950;431
08187 Sabadell;Vivienda no principal;De 1951 a 1960;1.095
08187 Sabadell;Vivienda no principal;De 1961 a 1970;1.572
08187 Sabadell;Vivienda no principal;De 1971 a 1980;1.103
08187 Sabadell;Vivienda no principal;De 1981 a 1990;335
08187 Sabadell;Vivienda no principal;De 1991 a 2000;819
08187 Sabadell;Vivienda no principal;De 2001 a 2010;1.736
08187 Sabadell;Vivienda no principal;De 2011 a 2020;477
08187 Sabadell;Vivienda no principal;No consta;354
08200 Sant Boi de Llobregat;Total;Total;33.904
08200 Sant Boi de Llobregat;Total;Antes de 1900;343
08200 Sant Boi de Llobregat;Total;De 1900 a 1920;422
08200 Sant Boi de Llobregat;Total;De 1921 a 1940;422
08200 Sant Boi de Llobregat;Total;De 1941 a 1950;121
08200 Sant Boi de Llobregat;Total;De 1951 a 1960;1.107
08200 Sant Boi de Llobregat;Total;De 1961 a 1970;8.332
08200 Sant Boi de Llobregat;Total;De 1971 a 1980;12.731
08200 Sant Boi de Llobregat;Total;De 1981 a 1990;2.380
08200 Sant Boi de Llobregat;Total;De 1991 a 2000;3.940
08200 Sant Boi de Llobregat;Total;De 2001 a 2010;2.737
08200 Sant Boi de Llobregat;Total;De 2011 a 2020;1.136
08200 Sant Boi de Llobregat;Total;No consta;233
08200 Sant Boi de Llobregat;Vivienda principal;Total;31.529
08200 Sant Boi de Llobregat;Vivienda principal;Antes de 1900;274
08200 Sant Boi de Llobregat;Vivienda principal;De 1900 a 1920;319
08200 Sant Boi de Llobregat;Vivienda principal;De 1921 a 1940;335
08200 Sant Boi de Llobregat;Vivienda principal;De 1941 a 1950;101
08200 Sant Boi de Llobregat;Vivienda principal;De 1951 a 1960;974
08200 Sant Boi de Llobregat;Vivienda principal;De 1961 a 1970;7.685
08200 Sant Boi de Llobregat;Vivienda principal;De 1971 a 1980;12.062
08200 Sant Boi de Llobregat;Vivienda principal;De 1981 a 1990;2.290
08200 Sant Boi de Llobregat;Vivienda principal;De 1991 a 2000;3.796
08200 Sant Boi de Llobregat;Vivienda principal;De 2001 a 2010;2.545
08200 Sant Boi de Llobregat;Vivienda principal;De 2011 a 2020;929
08200 Sant Boi de Llobregat;Vivienda principal;No consta;219
08200 Sant Boi de Llobregat;Vivienda no principal;Total;2.375
08200 Sant Boi de Llobregat;Vivienda no principal;Antes de 1900;69
08200 Sant Boi de Llobregat;Vivienda no principal;De 1900 a 1920;103
08200 Sant Boi de Llobregat;Vivienda no principal;De 1921 a 1940;87
08200 Sant Boi de Llobregat;Vivienda no principal;De 1941 a 1950;20
08200 Sant Boi de Llobregat;Vivienda no principal;De 1951 a 1960;133
08200 Sant Boi de Llobregat;Vivienda no principal;De 1961 a 1970;647
08200 Sant Boi de Llobregat;Vivienda no principal;De 1971 a 1980;669
08200 Sant Boi de Llobregat;Vivienda no principal;De 1981 a 1990;90
08200 Sant Boi de Llobregat;Vivienda no principal;De 1991 a 2000;144
08200 Sant Boi de Llobregat;Vivienda no principal;De 2001 a 2010;192
08200 Sant Boi de Llobregat;Vivienda no principal;De 2011 a 2020;207
08200 Sant Boi de Llobregat;Vivienda no principal;No consta;14
08205 Sant Cugat del Vallès;Total;Total;35.770
08205 Sant Cugat del Vallès;Total;Antes de 1900;174
08205 Sant Cugat del Vallès;Total;De 1900 a 1920;411
08205 Sant Cugat del Vallès;Total;De 1921 a 1940;878
08205 Sant Cugat del Vallès;Total;De 1941 a 1950;803
08205 Sant Cugat del Vallès;Total;De 1951 a 1960;1.427
08205 Sant Cugat del Vallès;Total;De 1961 a 1970;3.396
08205 Sant Cugat del Vallès;Total;De 1971 a 1980;5.606
08205 Sant Cugat del Vallès;Total;De 1981 a 1990;3.133
08205 Sant Cugat del Vallès;Total;De 1991 a 2000;8.705
08205 Sant Cugat del Vallès;Total;De 2001 a 2010;8.334
08205 Sant Cugat del Vallès;Total;De 2011 a 2020;2.701
08205 Sant Cugat del Vallès;Total;No consta;202
08205 Sant Cugat del Vallès;Vivienda principal;Total;31.327
08205 Sant Cugat del Vallès;Vivienda principal;Antes de 1900;132
08205 Sant Cugat del Vallès;Vivienda principal;De 1900 a 1920;283
08205 Sant Cugat del Vallès;Vivienda principal;De 1921 a 1940;697
08205 Sant Cugat del Vallès;Vivienda principal;De 1941 a 1950;669
08205 Sant Cugat del Vallès;Vivienda principal;De 1951 a 1960;1.174
08205 Sant Cugat del Vallès;Vivienda principal;De 1961 a 1970;2.925
08205 Sant Cugat del Vallès;Vivienda principal;De 1971 a 1980;5.067
08205 Sant Cugat del Vallès;Vivienda principal;De 1981 a 1990;2.864
08205 Sant Cugat del Vallès;Vivienda principal;De 1991 a 2000;7.916
08205 Sant Cugat del Vallès;Vivienda principal;De 2001 a 2010;7.366
08205 Sant Cugat del Vallès;Vivienda principal;De 2011 a 2020;2.064
08205 Sant Cugat del Vallès;Vivienda principal;No consta;170
08205 Sant Cugat del Vallès;Vivienda no principal;Total;4.443
08205 Sant Cugat del Vallès;Vivienda no principal;Antes de 1900;42
08205 Sant Cugat del Vallès;Vivienda no principal;De 1900 a 1920;128
08205 Sant Cugat del Vallès;Vivienda no principal;De 1921 a 1940;181
08205 Sant Cugat del Vallès;Vivienda no principal;De 1941 a 1950;134
08205 Sant Cugat del Vallès;Vivienda no principal;De 1951 a 1960;253
08205 Sant Cugat del Vallès;Vivienda no principal;De 1961 a 1970;471
08205 Sant Cugat del Vallès;Vivienda no principal;De 1971 a 1980;539
08205 Sant Cugat del Vallès;Vivienda no principal;De 1981 a 1990;269
08205 Sant Cugat del Vallès;Vivienda no principal;De 1991 a 2000;789
08205 Sant Cugat del Vallès;Vivienda no principal;De 2001 a 2010;968
08205 Sant Cugat del Vallès;Vivienda no principal;De 2011 a 2020;637
08205 Sant Cugat del Vallès;Vivienda no principal;No consta;32
08245 Santa Coloma de Gramenet;Total;Total;48.100
08245 Santa Coloma de Gramenet;Total;Antes de 1900;112
08245 Santa Coloma de Gramenet;Total;De 1900 a 1920;151
08245 Santa Coloma de Gramenet;Total;De 1921 a 1940;578
08245 Santa Coloma de Gramenet;Total;De 1941 a 1950;532
08245 Santa Coloma de Gramenet;Total;De 1951 a 1960;3.019
08245 Santa Coloma de Gramenet;Total;De 1961 a 1970;21.717
08245 Santa Coloma de Gramenet;Total;De 1971 a 1980;15.317
08245 Santa Coloma de Gramenet;Total;De 1981 a 1990;1.071
08245 Santa Coloma de Gramenet;Total;De 1991 a 2000;1.701
08245 Santa Coloma de Gramenet;Total;De 2001 a 2010;3.052
08245 Santa Coloma de Gramenet;Total;De 2011 a 2020;382
08245 Santa Coloma de Gramenet;Total;No consta;468
08245 Santa Coloma de Gramenet;Vivienda principal;Total;44.180
08245 Santa Coloma de Gramenet;Vivienda principal;Antes de 1900;70
08245 Santa Coloma de Gramenet;Vivienda principal;De 1900 a 1920;98
08245 Santa Coloma de Gramenet;Vivienda principal;De 1921 a 1940;448
08245 Santa Coloma de Gramenet;Vivienda principal;De 1941 a 1950;417
08245 Santa Coloma de Gramenet;Vivienda principal;De 1951 a 1960;2.613
08245 Santa Coloma de Gramenet;Vivienda principal;De 1961 a 1970;20.323
08245 Santa Coloma de Gramenet;Vivienda principal;De 1971 a 1980;14.482
08245 Santa Coloma de Gramenet;Vivienda principal;De 1981 a 1990;998
08245 Santa Coloma de Gramenet;Vivienda principal;De 1991 a 2000;1.504
08245 Santa Coloma de Gramenet;Vivienda principal;De 2001 a 2010;2.799
08245 Santa Coloma de Gramenet;Vivienda principal;De 2011 a 2020;307
08245 Santa Coloma de Gramenet;Vivienda principal;No consta;121
08245 Santa Coloma de Gramenet;Vivienda no principal;Total;3.920
08245 Santa Coloma de Gramenet;Vivienda no principal;Antes de 1900;42
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1900 a 1920;53
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1921 a 1940;130
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1941 a 1950;115
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1951 a 1960;406
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1961 a 1970;1.394
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1971 a 1980;835
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1981 a 1990;73
08245 Santa Coloma de Gramenet;Vivienda no principal;De 1991 a 2000;197
08245 Santa Coloma de Gramenet;Vivienda no principal;De 2001 a 2010;253
08245 Santa Coloma de Gramenet;Vivienda no principal;De 2011 a 2020;75
08245 Santa Coloma de Gramenet;Vivienda no principal;No consta;347
08266 Cerdanyola del Vallès;Total;Total;23.858
08266 Cerdanyola del Vallès;Total;Antes de 1900;46
08266 Cerdanyola del Vallès;Total;De 1900 a 1920;327
08266 Cerdanyola del Vallès;Total;De 1921 a 1940;409
08266 Cerdanyola del Vallès;Total;De 1941 a 1950;149
08266 Cerdanyola del Vallès;Total;De 1951 a 1960;515
08266 Cerdanyola del Vallès;Total;De 1961 a 1970;3.963
08266 Cerdanyola del Vallès;Total;De 1971 a 1980;7.861
08266 Cerdanyola del Vallès;Total;De 1981 a 1990;2.770
08266 Cerdanyola del Vallès;Total;De 1991 a 2000;4.509
08266 Cerdanyola del Vallès;Total;De 2001 a 2010;2.865
08266 Cerdanyola del Vallès;Total;De 2011 a 2020;264
08266 Cerdanyola del Vallès;Total;No consta;180
08266 Cerdanyola del Vallès;Vivienda principal;Total;21.726
08266 Cerdanyola del Vallès;Vivienda principal;Antes de 1900;32
08266 Cerdanyola del Vallès;Vivienda principal;De 1900 a 1920;225
08266 Cerdanyola del Vallès;Vivienda principal;De 1921 a 1940;316
08266 Cerdanyola del Vallès;Vivienda principal;De 1941 a 1950;124
08266 Cerdanyola del Vallès;Vivienda principal;De 1951 a 1960;426
08266 Cerdanyola del Vallès;Vivienda principal;De 1961 a 1970;3.533
08266 Cerdanyola del Vallès;Vivienda principal;De 1971 a 1980;7.172
08266 Cerdanyola del Vallès;Vivienda principal;De 1981 a 1990;2.632
08266 Cerdanyola del Vallès;Vivienda principal;De 1991 a 2000;4.279
08266 Cerdanyola del Vallès;Vivienda principal;De 2001 a 2010;2.622
08266 Cerdanyola del Vallès;Vivienda principal;De 2011 a 2020;213
08266 Cerdanyola del Vallès;Vivienda principal;No consta;152
08266 Cerdanyola del Vallès;Vivienda no principal;Total;2.132
08266 Cerdanyola del Vallès;Vivienda no principal;Antes de 1900;14
08266 Cerdanyola del Vallès;Vivienda no principal;De 1900 a 1920;102
08266 Cerdanyola del Vallès;Vivienda no principal;De 1921 a 1940;93
08266 Cerdanyola del Vallès;Vivienda no principal;De 1941 a 1950;25
08266 Cerdanyola del Vallès;Vivienda no principal;De 1951 a 1960;89
08266 Cerdanyola del Vallès;Vivienda no principal;De 1961 a 1970;430
08266 Cerdanyola del Vallès;Vivienda no principal;De 1971 a 1980;689
08266 Cerdanyola del Vallès;Vivienda no principal;De 1981 a 1990;138
08266 Cerdanyola del Vallès;Vivienda no principal;De 1991 a 2000;230
08266 Cerdanyola del Vallès;Vivienda no principal;De 2001 a 2010;243
08266 Cerdanyola del Vallès;Vivienda no principal;De 2011 a 2020;51
08266 Cerdanyola del Vallès;Vivienda no principal;No consta;28
08279 Terrassa;Total;Total;101.134
08279 Terrassa;Total;Antes de 1900;514
08279 Terrassa;Total;De 1900 a 1920;1.807
08279 Terrassa;Total;De 1921 a 1940;2.589
08279 Terrassa;Total;De 1941 a 1950;2.333
08279 Terrassa;Total;De 1951 a 1960;8.829
08279 Terrassa;Total;De 1961 a 1970;13.689
08279 Terrassa;Total;De 1971 a 1980;19.823
08279 Terrassa;Total;De 1981 a 1990;6.791
08279 Terrassa;Total;De 1991 a 2000;18.168
08279 Terrassa;Total;De 2001 a 2010;22.330
08279 Terrassa;Total;De 2011 a 2020;2.113
08279 Terrassa;Total;No consta;2.148
08279 Terrassa;Vivienda principal;Total;84.791
08279 Terrassa;Vivienda principal;Antes de 1900;399
08279 Terrassa;Vivienda principal;De 1900 a 1920;1.363
08279 Terrassa;Vivienda principal;De 1921 a 1940;1.994
08279 Terrassa;Vivienda principal;De 1941 a 1950;1.868
08279 Terrassa;Vivienda principal;De 1951 a 1960;7.602
08279 Terrassa;Vivienda principal;De 1961 a 1970;11.663
08279 Terrassa;Vivienda principal;De 1971 a 1980;17.639
08279 Terrassa;Vivienda principal;De 1981 a 1990;6.132
08279 Terrassa;Vivienda principal;De 1991 a 2000;14.258
08279 Terrassa;Vivienda principal;De 2001 a 2010;19.307
08279 Terrassa;Vivienda principal;De 2011 a 2020;1.593
08279 Terrassa;Vivienda principal;No consta;973
08279 Terrassa;Vivienda no principal;Total;16.343
08279 Terrassa;Vivienda no principal;Antes de 1900;115
08279 Terrassa;Vivienda no principal;De 1900 a 1920;444
08279 Terrassa;Vivienda no principal;De 1921 a 1940;595
08279 Terrassa;Vivienda no principal;De 1941 a 1950;465
08279 Terrassa;Vivienda no principal;De 1951 a 1960;1.227
08279 Terrassa;Vivienda no principal;De 1961 a 1970;2.026
08279 Terrassa;Vivienda no principal;De 1971 a 1980;2.184
08279 Terrassa;Vivienda no principal;De 1981 a 1990;659
08279 Terrassa;Vivienda no principal;De 1991 a 2000;3.910
08279 Terrassa;Vivienda no principal;De 2001 a 2010;3.023
08279 Terrassa;Vivienda no principal;De 2011 a 2020;520
08279 Terrassa;Vivienda no principal;No consta;1.175
08301 Viladecans;Total;Total;26.586
08301 Viladecans;Total;Antes de 1900;75
08301 Viladecans;Total;De 1900 a 1920;98
08301 Viladecans;Total;De 1921 a 1940;219
08301 Viladecans;Total;De 1941 a 1950;80
08301 Viladecans;Total;De 1951 a 1960;489
08301 Viladecans;Total;De 1961 a 1970;4.818
08301 Viladecans;Total;De 1971 a 1980;8.301
08301 Viladecans;Total;De 1981 a 1990;2.028
08301 Viladecans;Total;De 1991 a 2000;5.627
08301 Viladecans;Total;De 2001 a 2010;4.125
08301 Viladecans;Total;De 2011 a 2020;529
08301 Viladecans;Total;No consta;197
08301 Viladecans;Vivienda principal;Total;24.405
08301 Viladecans;Vivienda principal;Antes de 1900;53
08301 Viladecans;Vivienda principal;De 1900 a 1920;64
08301 Viladecans;Vivienda principal;De 1921 a 1940;180
08301 Viladecans;Vivienda principal;De 1941 a 1950;59
08301 Viladecans;Vivienda principal;De 1951 a 1960;400
08301 Viladecans;Vivienda principal;De 1961 a 1970;4.357
08301 Viladecans;Vivienda principal;De 1971 a 1980;7.781
08301 Viladecans;Vivienda principal;De 1981 a 1990;1.888
08301 Viladecans;Vivienda principal;De 1991 a 2000;5.287
08301 Viladecans;Vivienda principal;De 2001 a 2010;3.811
08301 Viladecans;Vivienda principal;De 2011 a 2020;452
08301 Viladecans;Vivienda principal;No consta;73
08301 Viladecans;Vivienda no principal;Total;2.181
08301 Viladecans;Vivienda no principal;Antes de 1900;22
08301 Viladecans;Vivienda no principal;De 1900 a 1920;34
08301 Viladecans;Vivienda no principal;De 1921 a 1940;39
08301 Viladecans;Vivienda no principal;De 1941 a 1950;21
08301 Viladecans;Vivienda no principal;De 1951 a 1960;89
08301 Viladecans;Vivienda no principal;De 1961 a 1970;461
08301 Viladecans;Vivienda no principal;De 1971 a 1980;520
08301 Viladecans;Vivienda no principal;De 1981 a 1990;140
08301 Viladecans;Vivienda no principal;De 1991 a 2000;340
08301 Viladecans;Vivienda no principal;De 2001 a 2010;314
08301 Viladecans;Vivienda no principal;De 2011 a 2020;77
08301 Viladecans;Vivienda no principal;No consta;124
08307 Vilanova i la Geltrú;Total;Total;33.155
08307 Vilanova i la Geltrú;Total;Antes de 1900;144
08307 Vilanova i la Geltrú;Total;De 1900 a 1920;2.087
08307 Vilanova i la Geltrú;Total;De 1921 a 1940;270
08307 Vilanova i la Geltrú;Total;De 1941 a 1950;426
08307 Vilanova i la Geltrú;Total;De 1951 a 1960;1.647
08307 Vilanova i la Geltrú;Total;De 1961 a 1970;3.835
08307 Vilanova i la Geltrú;Total;De 1971 a 1980;7.624
08307 Vilanova i la Geltrú;Total;De 1981 a 1990;3.322
08307 Vilanova i la Geltrú;Total;De 1991 a 2000;4.685
08307 Vilanova i la Geltrú;Total;De 2001 a 2010;5.870
08307 Vilanova i la Geltrú;Total;De 2011 a 2020;756
08307 Vilanova i la Geltrú;Total;No consta;2.489
08307 Vilanova i la Geltrú;Vivienda principal;Total;26.067
08307 Vilanova i la Geltrú;Vivienda principal;Antes de 1900;113
08307 Vilanova i la Geltrú;Vivienda principal;De 1900 a 1920;1.616
08307 Vilanova i la Geltrú;Vivienda principal;De 1921 a 1940;202
08307 Vilanova i la Geltrú;Vivienda principal;De 1941 a 1950;350
08307 Vilanova i la Geltrú;Vivienda principal;De 1951 a 1960;1.426
08307 Vilanova i la Geltrú;Vivienda principal;De 1961 a 1970;3.173
08307 Vilanova i la Geltrú;Vivienda principal;De 1971 a 1980;6.031
08307 Vilanova i la Geltrú;Vivienda principal;De 1981 a 1990;2.729
08307 Vilanova i la Geltrú;Vivienda principal;De 1991 a 2000;4.286
08307 Vilanova i la Geltrú;Vivienda principal;De 2001 a 2010;4.994
08307 Vilanova i la Geltrú;Vivienda principal;De 2011 a 2020;541
08307 Vilanova i la Geltrú;Vivienda principal;No consta;606
08307 Vilanova i la Geltrú;Vivienda no principal;Total;7.088
08307 Vilanova i la Geltrú;Vivienda no principal;Antes de 1900;31
08307 Vilanova i la Geltrú;Vivienda no principal;De 1900 a 1920;471
08307 Vilanova i la Geltrú;Vivienda no principal;De 1921 a 1940;68
08307 Vilanova i la Geltrú;Vivienda no principal;De 1941 a 1950;76
08307 Vilanova i la Geltrú;Vivienda no principal;De 1951 a 1960;221
08307 Vilanova i la Geltrú;Vivienda no principal;De 1961 a 1970;662
08307 Vilanova i la Geltrú;Vivienda no principal;De 1971 a 1980;1.593
08307 Vilanova i la Geltrú;Vivienda no principal;De 1981 a 1990;593
08307 Vilanova i la Geltrú;Vivienda no principal;De 1991 a 2000;399
08307 Vilanova i la Geltrú;Vivienda no principal;De 2001 a 2010;876
08307 Vilanova i la Geltrú;Vivienda no principal;De 2011 a 2020;215
08307 Vilanova i la Geltrú;Vivienda no principal;No consta;1.883
09059 Burgos;Total;Total;93.766
09059 Burgos;Total;Antes de 1900;668
09059 Burgos;Total;De 1900 a 1920;1.555
09059 Burgos;Total;De 1921 a 1940;2.938
09059 Burgos;Total;De 1941 a 1950;4.311
09059 Burgos;Total;De 1951 a 1960;5.231
09059 Burgos;Total;De 1961 a 1970;19.915
09059 Burgos;Total;De 1971 a 1980;13.360
09059 Burgos;Total;De 1981 a 1990;10.193
09059 Burgos;Total;De 1991 a 2000;12.944
09059 Burgos;Total;De 2001 a 2010;19.423
09059 Burgos;Total;De 2011 a 2020;2.600
09059 Burgos;Total;No consta;628
09059 Burgos;Vivienda principal;Total;73.410
09059 Burgos;Vivienda principal;Antes de 1900;372
09059 Burgos;Vivienda principal;De 1900 a 1920;877
09059 Burgos;Vivienda principal;De 1921 a 1940;1.942
09059 Burgos;Vivienda principal;De 1941 a 1950;2.914
09059 Burgos;Vivienda principal;De 1951 a 1960;3.858
09059 Burgos;Vivienda principal;De 1961 a 1970;15.726
09059 Burgos;Vivienda principal;De 1971 a 1980;10.835
09059 Burgos;Vivienda principal;De 1981 a 1990;8.523
09059 Burgos;Vivienda principal;De 1991 a 2000;10.959
09059 Burgos;Vivienda principal;De 2001 a 2010;14.979
09059 Burgos;Vivienda principal;De 2011 a 2020;1.932
09059 Burgos;Vivienda principal;No consta;493
09059 Burgos;Vivienda no principal;Total;20.356
09059 Burgos;Vivienda no principal;Antes de 1900;296
09059 Burgos;Vivienda no principal;De 1900 a 1920;678
09059 Burgos;Vivienda no principal;De 1921 a 1940;996
09059 Burgos;Vivienda no principal;De 1941 a 1950;1.397
09059 Burgos;Vivienda no principal;De 1951 a 1960;1.373
09059 Burgos;Vivienda no principal;De 1961 a 1970;4.189
09059 Burgos;Vivienda no principal;De 1971 a 1980;2.525
09059 Burgos;Vivienda no principal;De 1981 a 1990;1.670
09059 Burgos;Vivienda no principal;De 1991 a 2000;1.985
09059 Burgos;Vivienda no principal;De 2001 a 2010;4.444
09059 Burgos;Vivienda no principal;De 2011 a 2020;668
09059 Burgos;Vivienda no principal;No consta;135
10037 Cáceres;Total;Total;53.756
10037 Cáceres;Total;Antes de 1900;92
10037 Cáceres;Total;De 1900 a 1920;1.958
10037 Cáceres;Total;De 1921 a 1940;1.110
